"brain__DBA.2J"	"colon__DBA.2J"	"heart__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"skeletal.muscle__DBA.2J"	"spleen__DBA.2J"	"testis__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"skeletal.muscle__C57BL.6"	"spleen__C57BL.6"	"testis__C57BL.6"	"brain__CD1"	"colon__CD1"	"heart__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"skeletal.muscle__CD1"	"spleen__CD1"	"testis__CD1"	"metadata"
"ENSMUSG00000000628"	62	454	5519	22	37	467	17420	274	1020	82	610	222	85	404	17081	491	1360	107	578	4462	171	62	644	29927	463	1245	"Hk2 hexokinase 2"
"ENSMUSG00000000673"	5	69	5	4448	21876	112	7	1464	8	5	97	4267	21193	171	7	1903	10	5	112	8	7122	20245	92	11	633	8	"Haao 3-hydroxyanthranilate 3,4-dioxygenase"
"ENSMUSG00000000682"	11	550	131	79	66	935	17	8589	9	9	869	87	133	684	22	3936	9	14	1229	174	48	50	403	15	4270	4	"Cd52 CD52 antigen"
"ENSMUSG00000000686"	13	46	25	27	555	23	42	29	3	7	18	24	706	37	7	42	2	11	33	25	40	937	30	47	41	9	"Abhd15 abhydrolase domain containing 15"
"ENSMUSG00000000690"	1	6	5	505	1	34	34	14	13	0	17	554	2	47	30	15	19	0	17	0	395	3	109	77	16	15	"Hoxb6 homeobox B6"
"ENSMUSG00000000732"	62	599	735	208	28	720	128	2877	90	115	569	277	43	594	126	4193	125	180	884	909	300	47	775	212	3543	98	"Icosl icos ligand"
"ENSMUSG00000000739"	7	8	115	42	2140	157	218	14	55	6	5	48	1624	213	138	3	59	14	19	115	46	1804	313	208	7	59	"Sult5a1 sulfotransferase family 5A, member 1"
"ENSMUSG00000000753"	298	33	1495	34	27040	809	2522	127	279	145	111	113	31639	411	3294	153	132	133	180	2755	24	27316	579	4466	146	136	"Serpinf1 serine (or cysteine) peptidase inhibitor, clade F, member 1"
"ENSMUSG00000000782"	60	338	30	25	204	622	16	3685	279	47	350	51	148	626	20	3333	283	29	574	38	26	120	900	18	1912	363	"Tcf7 transcription factor 7, T cell specific"
"ENSMUSG00000000811"	149	182	594	561	538	450	358	120	13391	84	149	725	430	345	337	134	14113	78	238	442	755	350	389	376	123	15935	"Txnrd3 thioredoxin reductase 3"
"ENSMUSG00000000903"	1	65	2	3	2	220	2	595	37	2	116	6	5	274	7	339	65	0	194	0	0	3	243	4	334	45	"Vpreb3 pre-B lymphocyte gene 3"
"ENSMUSG00000000942"	7	52	9	29	10	64	50	15	3165	0	48	33	9	81	47	14	1089	0	81	21	14	0	131	47	10	2366	"Hoxa4 homeobox A4"
"ENSMUSG00000000948"	413	41	55	38	33	22	45	5	10	169	9	10	12	8	80	5	2	122	14	13	12	44	7	44	8	4	"NA NA"
"ENSMUSG00000000958"	17	4168	113	4956	306	382	80	518	341	43	6726	3734	102	335	64	472	248	24	3094	259	5245	203	415	26	829	348	"Slc7a7 solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
"ENSMUSG00000001027"	1	19	141	5	1	39	30650	244	48	1	25	15	2	56	30785	594	25	0	68	119	4	0	80	14759	625	225	"Scn4a sodium channel, voltage-gated, type IV, alpha"
"ENSMUSG00000001039"	247	82	249	225	24	250	83	61	1964	292	43	178	18	184	90	32	2134	280	56	149	179	24	188	66	35	2905	"B9d1 B9 protein domain 1"
"ENSMUSG00000001095"	0	2509	0	956	104	14	3	4	54	0	6844	1021	175	9	0	5	30	0	3453	0	1476	135	21	0	7	47	"Slc13a2 solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2"
"ENSMUSG00000001120"	1132	54	141	897	57	528	101	143	10123	1128	105	787	40	613	126	130	10413	1044	126	123	1041	65	745	99	112	10575	"Pcbp3 poly(rC) binding protein 3"
"ENSMUSG00000001123"	116	10493	1451	348	18468	2095	451	1538	80	98	14562	383	22599	2135	421	2054	75	98	7740	2378	306	13896	1845	566	2119	98	"Lgals9 lectin, galactose binding, soluble 9"
"ENSMUSG00000001128"	162	143	410	68	386	362	277	2679	48	322	353	89	731	279	228	3053	44	385	473	492	70	623	308	164	3038	32	"Cfp complement factor properdin"
"ENSMUSG00000001131"	27	8	150	4	2	136	19	76	50	34	23	7	2	71	19	45	9	23	8	497	2	3	77	4	57	32	"Timp1 tissue inhibitor of metalloproteinase 1"
"ENSMUSG00000001156"	597	11113	228	417	334	822	303	1081	2590	512	11695	409	305	612	281	1197	2704	578	6419	276	403	394	879	274	2099	2447	"Mxd1 MAX dimerization protein 1"
"ENSMUSG00000001227"	1696	73	276	83	149	148	163	145	31	2060	105	68	142	132	95	185	30	2468	126	263	107	173	348	339	175	36	"Sema6b sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"ENSMUSG00000001228"	11	608	32	43	6	62	8	651	2179	25	604	46	18	67	14	991	3016	2	475	68	153	12	124	36	2158	2139	"Uhrf1 ubiquitin-like, containing PHD and RING finger domains, 1"
"ENSMUSG00000001240"	252	130	1873	267	287	5203	523	454	46	150	247	313	204	5750	428	397	62	209	314	4492	320	159	7681	664	430	32	"Ramp2 receptor (calcitonin) activity modifying protein 2"
"ENSMUSG00000001249"	41	46	46	11085	13162	357	239	69	24	38	179	8212	17453	153	219	141	32	64	328	102	13389	14992	279	409	117	4	"Hpn hepsin"
"ENSMUSG00000001270"	5657	4756	166	566	20	138	69	125	41	9466	10309	618	152	383	126	531	96	5173	4814	526	524	29	335	73	199	28	"Ckb creatine kinase, brain"
"ENSMUSG00000001281"	17	406	30	60	76	602	58	3377	8	16	1002	81	101	830	47	4189	17	9	1214	110	46	68	693	66	3040	11	"Itgb7 integrin beta 7"
"ENSMUSG00000001333"	31	16	290	19	28	49	1481	34	22	24	15	15	11	29	1309	51	26	20	27	250	32	18	67	1011	30	6	"Sync syncoilin"
"ENSMUSG00000001334"	2661	92	11459	86	77	91	2553	77	860	1615	133	82	21	123	2291	72	769	1690	153	6649	91	26	185	3433	52	1019	"Fndc5 fibronectin type III domain containing 5"
"ENSMUSG00000001349"	23	1158	78	29	9	722	8	80	114	7	1729	80	6	523	11	90	139	11	2239	51	121	15	1004	51	77	136	"Cnn1 calponin 1"
"ENSMUSG00000001435"	139	1483	251	2837	24106	852	505	532	521	133	1917	3757	55690	435	589	608	858	57	1601	369	4721	40675	2348	1047	514	541	"Col18a1 collagen, type XVIII, alpha 1"
"ENSMUSG00000001493"	30	46	666	98	10	226	55	18	62	13	97	147	2	337	170	36	116	20	97	943	75	0	152	106	4	6	"Meox1 mesenchyme homeobox 1"
"ENSMUSG00000001504"	382	0	71	376	0	905	9	0	93	8	0	365	0	1083	1	0	125	0	0	64	282	0	824	0	0	106	"Irx2 Iroquois homeobox 2"
"ENSMUSG00000001506"	197	2465	1578	623	53	4632	11070	1924	669	165	4007	1258	437	1344	16289	3188	762	132	4490	4101	1154	135	12916	101158	1849	757	"Col1a1 collagen, type I, alpha 1"
"ENSMUSG00000001508"	5	7	3112	4	0	30	8234	3	372	5	6	5	0	16	6180	5	294	3	25	2365	2	6	29	5772	4	467	"Sgca sarcoglycan, alpha (dystrophin-associated glycoprotein)"
"ENSMUSG00000001517"	42	560	71	45	6	96	24	368	6807	38	479	55	29	61	24	520	7418	47	663	212	175	56	179	47	1034	6726	"Foxm1 forkhead box M1"
"ENSMUSG00000001583"	3	881	9	206	1	252	1	9	53	4	559	129	5	100	1	9	28	3	454	21	101	12	253	4	24	62	"Tnk1 tyrosine kinase, non-receptor, 1"
"ENSMUSG00000001588"	4	439	35	48	76	336	12	5659	332	13	746	48	134	464	22	5804	410	5	1353	81	36	56	600	33	5766	191	"Acap1 ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
"ENSMUSG00000001604"	6	579	1297	1223	2036	263	7179	43	38	10	994	1871	3183	470	9764	48	40	2	944	1202	1251	1575	225	5787	23	25	"Tcea3 transcription elongation factor A (SII), 3"
"ENSMUSG00000001661"	1	1	0	196	0	0	409	2	32	0	6	331	1	0	334	0	37	0	4	0	119	3	0	394	2	23	"Hoxc6 homeobox C6"
"ENSMUSG00000001672"	5	1024	5	341	72	189	12	1	62	15	1128	305	20	167	1	0	59	11	913	4	348	71	210	15	2	59	"Marveld3 MARVEL (membrane-associating) domain containing 3"
"ENSMUSG00000001739"	3	14719	281	285	24	205	82	40	17	2	20112	413	12	147	79	11	10	2	11392	200	328	6	167	77	23	21	"Cldn15 claudin 15"
"ENSMUSG00000001741"	95	218	362	60	106	563	82	3350	70	127	350	81	102	490	89	2448	63	206	520	552	66	109	505	186	2756	149	"Il16 interleukin 16"
"ENSMUSG00000001773"	245	0	9	1017	1	14	6	11	140	145	0	1904	1	9	1	16	161	234	2	0	3112	26	10	4	22	227	"Folh1 folate hydrolase 1"
"ENSMUSG00000001827"	8	6	7	9460	2	7	1	5	375	192	25	9645	5	3	5	2	277	38	0	0	6677	3	1	0	1	257	"Folr1 folate receptor 1 (adult)"
"ENSMUSG00000001829"	1218	566	1140	1818	1963	484	2408	423	17293	1251	652	1689	2090	404	2231	443	20050	1216	715	1108	1990	1601	589	2839	504	15619	"Clpb ClpB caseinolytic peptidase B"
"ENSMUSG00000001864"	215	37	113	3670	5	113	136	21	45	166	15	4050	5	100	108	30	84	109	37	102	4834	15	90	117	18	74	"Aif1l allograft inflammatory factor 1-like"
"ENSMUSG00000001930"	190	189	1838	81	121	6984	1140	1635	687	130	653	217	596	5628	445	989	971	153	465	1953	111	300	11940	577	2014	917	"Vwf Von Willebrand factor"
"ENSMUSG00000001948"	60	31	97	127	15	163	107	21	17472	55	126	182	9	161	178	14	22276	34	41	81	161	18	108	95	12	19474	"Spa17 sperm autoantigenic protein 17"
"ENSMUSG00000001985"	2046	73	12	15	31	62	13	2	61	2565	17	3	1	0	7	2	40	3366	48	21	22	3	158	0	1	104	"Grik3 glutamate receptor, ionotropic, kainate 3"
"ENSMUSG00000001986"	5619	48	173	325	49	593	101	171	62	6885	49	294	37	336	142	128	38	6511	83	149	292	44	631	55	144	70	"Gria3 glutamate receptor, ionotropic, AMPA3 (alpha 3)"
"ENSMUSG00000002006"	2311	58	108	35	12	124	30	190	39	3111	51	46	20	104	75	135	49	2913	78	149	40	18	138	113	188	38	"Pdzd4 PDZ domain containing 4"
"ENSMUSG00000002012"	1635	52	196	10	4	70	672	84	31	1849	112	23	4	91	489	40	47	1809	159	335	26	3	63	223	61	66	"Pnck pregnancy upregulated non-ubiquitously expressed CaM kinase"
"ENSMUSG00000002020"	9	237	122	5	49	1695	217	697	116	14	350	51	62	1096	32	1344	336	5	566	331	26	56	3033	314	937	153	"Ltbp2 latent transforming growth factor beta binding protein 2"
"ENSMUSG00000002033"	1	480	16	13	26	195	3	1313	18	0	750	15	13	205	1	936	0	0	748	38	6	9	134	0	636	9	"Cd3g CD3 antigen, gamma polypeptide"
"ENSMUSG00000002055"	412	1658	41	150	29	48	258	516	5183	549	1328	151	46	66	259	546	5631	566	1373	89	179	32	53	106	1508	5640	"Spag5 sperm associated antigen 5"
"ENSMUSG00000002100"	31	10	44771	250	1	43	5	96	18	22	6	3	7	155	0	19	5	12	17	32913	248	0	77	0	81	17	"Mybpc3 myosin binding protein C, cardiac"
"ENSMUSG00000002104"	7	2	230	71	0	46	873	19	310	6	8	35	8	29	1009	12	176	8	25	238	54	3	49	839	22	320	"Rapsn receptor-associated protein of the synapse"
"ENSMUSG00000002190"	572	11	2	6	0	5	2	0	23721	404	9	3	0	1	64	10	32189	266	10	0	54	3	2	18	5	27350	"Clgn calmegin"
"ENSMUSG00000002204"	21	192	14	34649	16	4307	12	4026	59	34	273	29949	10	4669	22	2539	69	29	320	38	20068	15	2950	0	2446	6	"Napsa napsin A aspartic peptidase"
"ENSMUSG00000002257"	38	109	81	51	12	199	63	1325	37	21	213	49	7	241	59	1277	46	35	361	149	101	3	292	113	970	25	"Def6 differentially expressed in FDCP 6"
"ENSMUSG00000002265"	17680	263	965	973	1625	479	1879	100	333	11719	116	549	188	361	2051	125	213	11357	178	637	498	303	341	774	61	200	"Peg3 paternally expressed 3"
"ENSMUSG00000002266"	314	3	60	79	4	14	196	3	1	215	3	42	4	5	297	3	6	99	0	21	12	0	3	124	1	6	"Zim1 zinc finger, imprinted 1"
"ENSMUSG00000002289"	45	228	184	505	2575	460	594	128	106	21	220	1201	4121	275	183	190	79	24	258	204	393	4307	680	821	234	98	"Angptl4 angiopoietin-like 4"
"ENSMUSG00000002297"	43	500	111	107	280	137	30	538	2048	35	361	92	102	237	40	445	2143	52	446	149	103	250	125	36	852	2461	"Dbf4 DBF4 zinc finger"
"ENSMUSG00000002324"	6	233	0	17	28	16	0	10	3100	133	2658	324	141	150	6	104	3776	0	506	0	28	26	40	11	30	2020	"Rec8 REC8 meiotic recombination protein"
"ENSMUSG00000002409"	359	274	203	768	511	439	4022	243	13407	510	288	428	700	182	2515	305	12905	547	250	242	661	408	593	3010	318	9137	"Dyrk1b dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b"
"ENSMUSG00000002486"	220	199	189	219	68	295	241	378	3252	286	247	237	142	260	191	461	3450	317	297	170	401	112	394	493	485	4292	"Tchp trichoplein, keratin filament binding"
"ENSMUSG00000002500"	8	5	6244	43	5	16	22795	9	31	8	9	47	8	9	15029	3	16	15	12	3808	70	0	12	17613	20	23	"Rpl3l ribosomal protein L3-like"
"ENSMUSG00000002565"	2	3255	90	1059	1	14	59	25	18	9	2321	1247	0	9	241	30	23	9	2007	30	1267	0	9	26	22	11	"Scin scinderin"
"ENSMUSG00000002588"	1	0	41	3	33633	3321	530	12	1	3	0	25	31890	1949	84	2	1	0	4	8	6	20148	1253	91	1	2	"Pon1 paraoxonase 1"
"ENSMUSG00000002668"	19	658	60	191	128	367	35	3106	16	37	1116	292	208	450	36	4222	10	43	1109	170	183	206	503	33	3000	8	"Dennd1c DENN/MADD domain containing 1C"
"ENSMUSG00000002699"	56	299	120	29	122	400	66	1687	29	66	441	67	219	466	56	2112	50	55	533	242	34	182	420	36	2022	66	"Lcp2 lymphocyte cytosolic protein 2"
"ENSMUSG00000002768"	621	648	590	747	1244	455	482	393	11007	933	1122	947	1234	516	587	461	14465	856	849	713	842	1037	512	514	397	16196	"Mea1 male enhanced antigen 1"
"ENSMUSG00000002769"	15	11	23	422	58116	90	12	35	92	18	213	435	71106	85	14	28	23	20	268	42	1033	38319	100	47	20	42	"Gnmt glycine N-methyltransferase"
"ENSMUSG00000002771"	542	203	28	20	7	105	15	32	1509	363	243	21	4	34	32	42	1798	338	277	17	42	18	460	80	46	1564	"Grin2d glutamate receptor, ionotropic, NMDA2D (epsilon 4)"
"ENSMUSG00000002808"	2508	28	484	140	2	318	5754	131	22	2094	42	236	13	380	4993	128	7	2158	52	348	111	3	232	4824	394	13	"Epdr1 ependymin related protein 1 (zebrafish)"
"ENSMUSG00000002831"	38	118	1776	34	42	246	10563	23	121	44	105	308	146	81	5604	18	51	83	207	1732	236	214	279	9177	31	42	"Plin4 perilipin 4"
"ENSMUSG00000002835"	82	488	74	104	43	100	72	331	6465	125	364	98	78	57	99	465	8644	107	533	110	193	85	170	77	1003	7312	"Chaf1a chromatin assembly factor 1, subunit A (p150)"
"ENSMUSG00000002847"	15	20	2078	335	1065	51	559	152	123	20	52	408	2374	23	459	24	139	12	37	2913	443	1393	64	412	170	127	"Pla1a phospholipase A1 member A"
"ENSMUSG00000002980"	231	184	3245	1837	65	7543	661	331	153	159	293	2510	186	6197	620	469	161	127	512	4543	3056	115	12222	1383	370	104	"Bcam basal cell adhesion molecule"
"ENSMUSG00000002985"	13746	2156	11247	1349	486375	5433	5074	9127	1357	14419	6070	1299	516837	2392	1531	9189	969	16708	9141	15463	2486	474148	5705	4827	10752	895	"Apoe apolipoprotein E"
"ENSMUSG00000003051"	1	5080	0	415	32	433	5	1	137	3	6634	461	16	342	16	0	23	0	5054	0	600	41	364	15	1	123	"Elf3 E74-like factor 3"
"ENSMUSG00000003153"	3078	110	92	38	12	242	559	1510	33935	3749	105	38	25	337	729	1072	35703	4084	151	153	143	26	322	398	1382	45059	"Slc2a3 solute carrier family 2 (facilitated glucose transporter), member 3"
"ENSMUSG00000003271"	154	3294	2	36	5	42	1	21	203	236	6276	39	1	39	1	54	118	229	3472	0	34	3	56	7	3	263	"Sult2b1 sulfotransferase family, cytosolic, 2B, member 1"
"ENSMUSG00000003273"	1564	17	129	36	23	35	182	19	31	2494	23	44	17	23	268	22	23	3014	97	280	97	85	163	350	54	45	"Car11 carbonic anhydrase 11"
"ENSMUSG00000003279"	9893	78	14	15	125	11	16	12	141	9954	103	30	118	4	49	4	166	13643	52	34	36	288	8	7	5	148	"Dlgap1 DLG associated protein 1"
"ENSMUSG00000003309"	29	2163	0	367	4	641	0	64	52	31	2812	404	10	573	0	62	57	49	2185	0	685	0	576	0	61	72	"Ap1m2 adaptor protein complex AP-1, mu 2 subunit"
"ENSMUSG00000003352"	2236	224	108	208	11	430	175	343	104	3805	296	282	25	247	123	517	52	3621	444	157	304	15	538	124	350	76	"Cacnb3 calcium channel, voltage-dependent, beta 3 subunit"
"ENSMUSG00000003354"	221	5	12	22	1	153	2	1	8937	170	6	22	4	160	6	0	8767	185	6	13	66	0	119	0	1	10151	"Ccdc65 coiled-coil domain containing 65"
"ENSMUSG00000003355"	23	82	67	57	867	65	28	59	17	14	895	43	531	94	27	44	16	24	704	59	93	855	88	11	61	21	"Fkbp11 FK506 binding protein 11"
"ENSMUSG00000003379"	1	242	5	12	12	161	5	6415	2	5	652	17	26	644	7	5945	6	2	609	21	12	12	208	11	4846	0	"Cd79a CD79A antigen (immunoglobulin-associated alpha)"
"ENSMUSG00000003410"	5463	25	5	19	0	2	1	1	209	4695	28	22	0	0	17	1	173	5086	39	4	44	3	1	0	0	229	"Elavl3 ELAV like RNA binding protein 3"
"ENSMUSG00000003411"	703	37	14	58	12	1	5	1	76	936	39	91	10	10	12	8	163	1564	54	4	127	12	15	4	11	140	"Rab3b RAB3B, member RAS oncogene family"
"ENSMUSG00000003452"	1796	121	214	335	7	148	20	149	125	1060	77	286	5	115	26	60	125	1200	114	110	212	12	112	33	53	131	"Bicd1 BICD cargo adaptor 1"
"ENSMUSG00000003469"	6639	3	357	31	2	6	5	253	268	8611	5	53	5	9	32	126	38	9811	6	340	46	9	12	29	534	42	"Phyhip phytanoyl-CoA hydroxylase interacting protein"
"ENSMUSG00000003477"	1	18	1543	23062	22623	54018	262	2	2	27	39	21334	28755	19699	627	6	14	5	64	454	18120	18723	41532	423	10	4	"Inmt indolethylamine N-methyltransferase"
"ENSMUSG00000003484"	1	48	5	1	10	117	2	603	2	18	230	12	10	262	17	966	6	2	145	4	6	15	152	7	866	2	"Cyp4f18 cytochrome P450, family 4, subfamily f, polypeptide 18"
"ENSMUSG00000003526"	467	503	537	6051	5509	559	382	146	99	543	811	5600	11786	374	370	130	91	618	826	718	10637	9874	693	573	172	79	"Prodh proline dehydrogenase"
"ENSMUSG00000003541"	99	127	366	506	29	1792	353	59	37	115	210	236	26	2188	152	61	20	90	233	845	244	32	1222	215	73	25	"Ier3 immediate early response 3"
"ENSMUSG00000003585"	811	4679	25	82	21939	384	20	178	174	796	5993	47	29279	283	16	162	253	907	2745	68	145	17992	456	29	672	153	"Sec14l2 SEC14-like lipid binding 2"
"ENSMUSG00000003604"	175	399	348	336	828	205	615	408	4375	148	430	450	647	248	571	340	4883	125	605	374	485	717	252	522	356	6453	"Aven apoptosis, caspase activation inhibitor"
"ENSMUSG00000003617"	422	269	4690	1076	60339	8094	932	1424	441	284	316	876	34967	3917	701	1296	241	190	403	3269	1372	40995	4325	744	1316	354	"Cp ceruloplasmin"
"ENSMUSG00000003779"	46	464	88	50	26	62	51	276	3193	47	264	65	54	63	50	402	3105	35	504	195	139	68	100	51	1052	2504	"Kif20a kinesin family member 20A"
"ENSMUSG00000003809"	489	1089	1334	8407	20153	427	1064	386	259	610	1036	8294	23666	476	1156	362	193	477	857	790	8035	13629	298	686	399	100	"Gcdh glutaryl-Coenzyme A dehydrogenase"
"ENSMUSG00000003824"	38	112	67	103	197	49	26	121	3476	57	92	148	274	52	25	94	3100	43	132	47	101	223	33	47	228	2951	"Syce2 synaptonemal complex central element protein 2"
"ENSMUSG00000003863"	2951	154	5	6	0	15	3	7	25	3561	287	12	1	15	37	5	39	4213	260	0	28	3	19	22	3	15	"Ppfia3 protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"
"ENSMUSG00000003865"	406	527	1304	895	88	679	22788	528	71	459	549	1153	170	517	19981	495	67	526	766	1227	1354	261	844	21517	466	68	"Gys1 glycogen synthase 1, muscle"
"ENSMUSG00000003882"	20	197	32	15	24	419	7	1351	1	13	203	16	17	492	5	1937	11	28	192	76	4	9	230	0	909	4	"Il7r interleukin 7 receptor"
"ENSMUSG00000003934"	2353	35	1027	14	2	10	23	33	89	2225	43	15	4	16	46	30	69	1830	68	1584	6	3	9	40	47	85	"Efnb3 ephrin B3"
"ENSMUSG00000004032"	2971	532	1518	1804	605	213	2468	333	38325	2372	553	2490	224	143	2773	139	35097	1918	549	1346	3275	303	161	1580	590	43841	"Gstm5 glutathione S-transferase, mu 5"
"ENSMUSG00000004070"	1203	894	1534	1149	1752	827	1008	708	12221	1338	1330	1266	1584	1002	1298	915	14888	1350	1227	1494	1480	1704	774	1244	839	14450	"Hmox2 heme oxygenase 2"
"ENSMUSG00000004085"	424	1189	3731	423	501	2012	16621	650	382	251	818	317	731	1546	18874	457	339	161	913	2705	191	635	1869	8199	629	280	"Map3k20 mitogen-activated protein kinase kinase kinase 20"
"ENSMUSG00000004098"	29	82	470	57	474	51	1812	29	52	120	142	113	2180	72	3025	101	76	87	128	611	117	2624	170	2934	49	45	"Col5a3 collagen, type V, alpha 3"
"ENSMUSG00000004110"	8000	197	18	31	4	114	15	584	342	9750	194	9	3	91	41	1375	108	8999	163	17	10	6	138	4	17	363	"Cacna1e calcium channel, voltage-dependent, R type, alpha 1E subunit"
"ENSMUSG00000004113"	3112	41	5	4	0	28	2	188	107	3729	15	2	1	20	16	98	74	3843	45	13	0	6	15	0	89	100	"Cacna1b calcium channel, voltage-dependent, N type, alpha 1B subunit"
"ENSMUSG00000004127"	199	127	134	168	254	96	100	243	2882	145	82	159	184	117	96	172	2092	151	89	89	175	209	100	120	201	2665	"Trmt10a tRNA methyltransferase 10A"
