"cerebellum__Normal"	"frontal__Normal"	"hippocampus__Normal"	"cerebellum__Progranulin"	"frontal__Progranulin"	"hippocampus__Progranulin"	"cerebellum__Sporadic"	"frontal__Sporadic"	"hippocampus__Sporadic"	"Annotation"
"MEIS1"	10.699674	7.306327	7.783545	10.421645	7.645305	7.944125	10.154223	7.575865	8.067353	"Meis homeobox 1"
"NRGN"	4.631553	13.629238	11.467182	5.000188	11.790865	10.134012	6.047995	13.153053	11.307536	"neurogranin"
"PDE2A"	7.333404	11.101013	10.101932	6.825498	10.157519	9.306908	7.664547	10.678171	9.955039	"phosphodiesterase 2A"
"SIPA1"	5.909341	6.339485	3.792744	6.847401	7.503926	7.822713	5.505501	6.854199	6.772667	"signal-induced proliferation-associated 1"
"CD37"	4.03694	5.501566	4.428328	5.209865	7.570022	7.875116	4.687486	6.655123	6.54055	"CD37 molecule"
"CHGB"	12.569838	10.465622	9.805902	13.067508	8.428786	8.348056	12.426441	10.333177	10.649544	"chromogranin B"
"RGS4"	6.898011	12.975909	10.45745	6.792488	10.044448	8.688946	8.019778	11.761266	9.952409	"regulator of G protein signaling 4"
"TRAF5"	6.34799	7.260475	8.556919	5.319172	7.462804	7.8045	5.905599	7.615851	8.015237	"TNF receptor associated factor 5"
"FLRT2"	7.051457	10.56116	10.726363	6.277694	10.3054	9.764141	7.806354	10.392623	9.727933	"fibronectin leucine rich transmembrane protein 2"
"TTF2"	4.407456	5.837316	6.184163	4.485318	6.186502	6.80329	5.372021	5.942008	5.737614	"transcription termination factor 2"
"IFI44L"	6.092879	7.163281	7.604324	6.982802	9.472758	10.243115	6.050596	7.771706	7.805713	"interferon induced protein 44 like"
"GEM"	7.023125	8.599322	8.804688	7.725372	10.063019	10.277519	7.366345	9.214911	8.78307	"GTP binding protein overexpressed in skeletal muscle"
"ST6GALNAC2"	4.799436	4.944235	6.572589	5.653158	6.848519	8.097237	5.372776	5.631359	7.080524	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
"STAR"	3.954299	7.082501	6.954997	2.596269	4.582356	3.795637	4.846801	6.610425	5.300127	"steroidogenic acute regulatory protein"
"FKBP5"	3.152009	5.835961	4.346836	3.653386	7.927375	7.580957	3.55944	6.231731	6.345767	"FK506 binding protein 5"
"BSN"	9.961764	10.014761	6.95546	10.260376	7.964922	6.752665	9.806091	9.60331	8.959605	"bassoon presynaptic cytomatrix protein"
"DKK1"	4.374963	6.454571	6.474449	3.555527	5.234705	7.403018	5.791355	6.201886	6.176732	"dickkopf WNT signaling pathway inhibitor 1"
"DPYD"	5.863598	6.694187	8.090273	6.387443	8.823093	8.816932	5.976483	7.749896	7.750512	"dihydropyrimidine dehydrogenase"
"SIKE1"	4.903787	4.281755	5.723568	5.102311	3.684075	5.389067	4.147154	4.173359	4.719537	"suppressor of IKBKE 1"
"EPHB6"	7.612168	10.956108	9.236213	7.39142	9.397102	7.812261	7.683457	10.184705	8.42845	"EPH receptor B6"
"ABCA8"	8.019717	8.013629	9.821605	7.942136	10.583813	11.44495	8.322309	9.532751	10.203829	"ATP binding cassette subfamily A member 8"
"CDH13"	3.632928	8.621621	6.373653	2.680125	5.999418	4.216118	4.605348	8.225997	6.033428	"cadherin 13"
"WDHD1"	5.7031	4.201617	3.40028	4.941955	4.98681	4.47538	5.163115	4.202852	4.306607	"WD repeat and HMG-box DNA binding protein 1"
"PTGS2"	4.79467	7.748057	7.182702	5.351476	6.302452	5.740278	4.809007	6.536544	5.558179	"prostaglandin-endoperoxide synthase 2"
"EML1"	5.002858	7.008519	7.395669	5.573882	7.000311	7.258263	6.030229	7.293551	7.485817	"echinoderm microtubule associated protein like 1"
"RRAD"	7.061553	4.986619	4.432551	7.236239	6.054064	5.303696	5.043278	4.935342	5.084739	"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
"ENPEP"	4.328443	4.048663	3.55106	4.304051	5.420211	6.293213	2.903203	5.561633	5.578821	"glutamyl aminopeptidase"
"P3H3"	7.56164	5.069816	5.56616	7.499164	5.091156	4.821974	7.206525	5.870508	4.839642	"prolyl 3-hydroxylase 3"
"PTGER4"	5.132556	6.043088	6.330044	5.214865	7.417803	7.203603	5.006198	6.69385	6.686904	"prostaglandin E receptor 4"
"TLR2"	6.083862	5.591946	6.310488	6.405024	8.134195	7.593541	5.515522	7.594066	6.660827	"toll like receptor 2"
"TNFRSF11B"	6.043405	5.292476	4.248577	5.771104	7.683072	7.094889	5.864572	6.409838	5.853475	"TNF receptor superfamily member 11b"
"PLN"	4.31773	3.747273	5.701378	4.247937	6.666404	5.071125	3.117483	5.120942	5.11473	"phospholamban"
"MNDA"	4.612819	5.638688	5.771678	4.403755	7.797321	7.253833	4.872554	6.769524	6.445045	"myeloid cell nuclear differentiation antigen"
"SLC22A18"	5.357876	6.823348	5.086351	5.743456	6.873964	6.634738	3.922546	6.334073	6.105404	"solute carrier family 22 member 18"
"DDX3Y"	7.796501	5.791285	5.961989	4.526899	6.656224	6.59492	4.341424	5.055918	5.661771	"DEAD-box helicase 3 Y-linked"
"EFNB3"	5.431764	10.084542	8.577414	5.488912	8.119171	8.896471	7.13737	9.689645	9.319845	"ephrin B3"
"MAN2A1"	7.33273	8.751606	9.807654	7.348787	9.840313	11.032327	7.79722	9.20147	9.368829	"mannosidase alpha class 2A member 1"
"VRK2"	5.972227	7.177697	8.299082	5.75812	8.303392	8.982554	6.234888	7.542641	7.893549	"VRK serine/threonine kinase 2"
"ANG"	5.240476	6.15739	6.06004	6.077163	7.415967	7.254686	5.096709	6.853045	6.928259	"angiogenin"
"CA9"	8.730128	6.82633	5.304309	8.054764	7.179969	7.354011	7.800345	6.450107	6.796699	"carbonic anhydrase 9"
"EHHADH"	5.139141	5.86169	6.777808	3.964797	5.904064	6.125792	3.968558	6.10667	5.889431	"enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase"
"PDGFRL"	5.284074	6.119917	6.3503	3.406005	6.814308	5.133679	5.84419	6.174845	6.159214	"platelet derived growth factor receptor like"
"LCP2"	4.961767	6.773141	5.670497	5.853567	7.538314	7.217253	5.120108	7.066901	6.600891	"lymphocyte cytosolic protein 2"
"BMP2"	4.794799	6.466328	6.220387	5.039896	6.906752	6.820068	4.455084	6.659571	6.034822	"bone morphogenetic protein 2"
"RBL1"	6.63237	4.831632	5.037429	7.068239	6.496387	6.775791	6.394202	5.375036	5.726035	"RB transcriptional corepressor like 1"
"PVALB"	11.146353	8.642842	7.28609	11.37431	6.815779	3.997419	12.30027	8.633813	7.282782	"parvalbumin"
"BARD1"	4.896543	6.145492	6.426598	4.913553	7.147686	7.029746	5.449354	6.477862	6.090271	"BRCA1 associated RING domain 1"
"CRABP1"	6.452444	6.547714	7.764796	5.781638	9.00669	4.726324	7.217381	8.020218	5.772584	"cellular retinoic acid binding protein 1"
"SERPINI1"	8.908594	12.468901	11.524113	8.446582	10.570165	10.787266	9.64636	12.323624	11.273863	"serpin family I member 1"
"PDZK1"	8.379881	3.883423	5.615495	7.284017	5.502401	4.595924	7.646248	5.08439	5.390226	"PDZ domain containing 1"
"IL1R2"	3.585947	5.157504	5.164586	5.584675	7.185971	6.268288	3.510648	5.136609	4.570262	"interleukin 1 receptor type 2"
"GPR183"	5.118239	5.426713	4.456603	5.074684	7.518329	7.353404	4.924956	5.648829	5.939112	"G protein-coupled receptor 183"
"CRYM"	11.350626	11.269514	9.019271	10.781406	8.469627	7.633428	11.227532	10.677895	10.133085	"crystallin mu"
"KIAA0408"	8.712596	7.005907	6.648601	8.262996	5.692228	6.190488	8.197173	7.22776	6.606377	"KIAA0408"
"CORO2A"	7.97152	6.150801	6.143283	7.858273	6.373592	3.869472	7.756114	6.658712	5.930691	"coronin 2A"
"HRH1"	4.595551	8.116248	5.612773	5.09296	7.553775	6.819978	4.696409	7.979021	6.447139	"histamine receptor H1"
"ANGPT1"	7.772468	5.293299	4.576723	8.462982	7.892606	9.061228	7.618234	7.248496	7.955768	"angiopoietin 1"
"CRH"	4.387123	7.721177	6.713823	4.263596	5.001728	5.87766	5.31783	7.472869	6.246663	"corticotropin releasing hormone"
"PCBP3"	8.741157	6.836334	6.563901	8.215959	6.693207	5.790876	8.383929	6.818671	6.807865	"poly(rC) binding protein 3"
"LY75"	5.021237	4.720078	6.004419	5.438423	7.082724	7.228148	5.369052	5.807268	5.977007	"lymphocyte antigen 75"
"BCL2A1"	4.520763	5.439445	2.806097	3.954853	6.418207	5.688508	4.094491	5.40041	5.455432	"BCL2 related protein A1"
"TYRP1"	2.613668	6.27358	10.483524	4.081254	5.697704	5.40193	3.464667	6.11181	6.98183	"tyrosinase related protein 1"
"SCGN"	7.960591	4.624267	3.794732	6.574452	3.488199	3.727003	8.533215	5.212126	6.856204	"secretagogin, EF-hand calcium binding protein"
"MAP2K6"	6.407505	4.616622	5.817309	5.671894	5.341833	4.61163	6.325863	4.691073	5.04	"mitogen-activated protein kinase kinase 6"
"LRP2"	5.992364	6.139946	6.979687	6.491204	7.139896	8.762422	5.957234	6.507479	7.404565	"LDL receptor related protein 2"
"GFRA2"	4.905133	9.126624	6.596099	6.660859	6.685159	5.069546	6.954308	8.121617	7.649615	"GDNF family receptor alpha 2"
"TEP1"	6.563073	4.301953	4.584805	6.745487	7.098007	7.486044	6.162126	6.113769	6.561626	"telomerase associated protein 1"
"TENM1"	10.899937	7.441727	6.902872	10.364094	6.966337	6.885448	10.480181	7.924693	8.300009	"teneurin transmembrane protein 1"
"PGAM2"	7.998868	5.459787	4.953047	7.488408	6.617001	6.40848	7.791812	6.829074	6.667368	"phosphoglycerate mutase 2"
"CBLN1"	11.805597	5.758947	4.097228	11.462789	5.447722	3.448313	11.160634	6.338172	6.166683	"cerebellin 1 precursor"
"SLC27A2"	6.159314	5.763533	7.757773	6.131838	5.132868	5.340681	6.594734	6.102984	7.017361	"solute carrier family 27 member 2"
"F12"	4.868498	7.343364	6.640176	5.690598	4.892425	4.383631	6.273526	6.998456	6.323996	"coagulation factor XII"
"ITGB8"	4.701305	5.061836	5.480711	5.897719	6.126473	7.094677	5.262766	4.956422	5.740645	"integrin subunit beta 8"
"PCSK1"	4.068768	9.972828	7.645885	3.519252	5.955129	5.555517	3.916354	8.827644	6.967074	"proprotein convertase subtilisin/kexin type 1"
"CCK"	4.375248	11.892998	9.957268	3.495058	9.923349	8.931831	6.054418	11.533096	9.779687	"cholecystokinin"
"SLC14A1"	6.457774	7.184242	7.812676	7.039351	10.159135	10.451911	6.888301	9.056565	9.457879	"solute carrier family 14 member 1 (Kidd blood group)"
"S100A12"	6.382602	6.938298	4.925009	7.305886	8.403297	7.159431	6.356236	6.454524	6.324559	"S100 calcium binding protein A12"
"ARID3A"	7.576013	6.080308	4.320635	7.927385	6.871038	6.37018	7.605389	5.819849	6.301304	"AT-rich interaction domain 3A"
"BDKRB2"	7.827467	6.146104	4.567152	8.477126	6.589192	5.790262	7.123671	5.822091	5.249875	"bradykinin receptor B2"
"ITPKA"	5.026079	9.150384	6.866248	5.455391	7.221184	5.61604	6.804554	8.655543	6.772592	"inositol-trisphosphate 3-kinase A"
"CX3CR1"	7.454717	8.993564	7.9475	7.553377	10.562024	10.741121	6.624669	9.288766	9.734443	"C-X3-C motif chemokine receptor 1"
"CCNA1"	5.235594	8.318026	7.731628	3.628563	6.180376	7.915456	5.646386	7.745744	7.790626	"cyclin A1"
"RELN"	12.798897	8.431634	9.033805	12.037281	8.637423	9.908624	12.420145	8.904837	9.322595	"reelin"
"PPM1E"	6.83017	7.04083	7.548923	5.880497	4.744261	5.114441	7.368545	6.512801	7.503498	"protein phosphatase, Mg2+/Mn2+ dependent 1E"
"TDO2"	2.46377	5.475823	4.680301	4.138464	5.361803	4.106128	4.021649	6.024315	5.198193	"tryptophan 2,3-dioxygenase"
"PTPRT"	4.972603	9.607739	8.087422	5.034191	7.366011	6.798568	6.774532	9.146555	7.992006	"protein tyrosine phosphatase, receptor type T"
"KL"	3.668255	5.068397	8.046041	2.280825	5.425825	5.851416	4.483691	5.029641	7.217442	"klotho"
"CRHBP"	3.707738	6.195418	6.870254	4.474145	5.759616	6.351654	6.244406	6.787137	6.195225	"corticotropin releasing hormone binding protein"
"NPY"	6.465083	9.464332	8.149496	6.463518	9.280313	8.372483	6.905735	9.418736	8.5508	"neuropeptide Y"
"ACTL6B"	8.986785	8.248838	6.526485	9.126723	4.849287	3.884881	8.861446	8.075547	7.156947	"actin like 6B"
"FOXG1"	2.751597	11.995534	9.868034	2.828308	11.664672	11.367628	3.717159	12.167916	10.979797	"forkhead box G1"
"DSC3"	4.090593	4.478343	4.371981	4.634987	6.209932	5.028331	5.710383	5.068088	4.954723	"desmocollin 3"
"PTPRR"	8.918937	8.367448	7.099394	8.691908	6.946889	6.026457	9.340188	8.072864	7.417997	"protein tyrosine phosphatase, receptor type R"
"NELL1"	4.703944	8.810775	7.13717	5.311005	5.989184	5.801366	6.518772	8.366884	7.635159	"neural EGFL like 1"
"CPM"	6.677023	7.432117	7.851949	6.952108	9.590931	9.77341	6.553032	8.056936	8.388331	"carboxypeptidase M"
"ECM2"	7.218631	5.820052	7.548725	6.757044	8.29486	9.27662	6.771936	7.628371	8.431416	"extracellular matrix protein 2"
"EGR3"	5.968562	10.798312	9.151246	6.400089	8.598699	8.615295	4.395411	9.630512	8.642584	"early growth response 3"
"STAT4"	6.052208	8.944122	8.642002	6.200882	7.760318	6.771109	7.00802	8.667207	7.485263	"signal transducer and activator of transcription 4"
"ST18"	11.376067	6.614176	8.314774	10.791567	8.533911	10.333221	10.464001	8.046353	9.579759	"ST18, C2H2C-type zinc finger"
"LHX2"	3.147639	11.720077	9.864544	1.801815	11.817718	11.088053	5.770628	11.649409	10.21264	"LIM homeobox 2"
"IL13RA2"	3.890082	5.085629	6.857187	4.044625	2.883367	7.97477	3.124043	5.288354	7.455389	"interleukin 13 receptor subunit alpha 2"
"MPP3"	9.460421	6.211171	6.88222	9.119532	7.137372	6.958061	9.036249	6.973121	7.596984	"membrane palmitoylated protein 3"
"GPR17"	5.77511	7.739712	7.94956	6.767933	8.520386	9.353474	6.362719	8.286898	8.237958	"G protein-coupled receptor 17"
"GRB14"	2.276033	6.440698	6.815248	3.527114	6.240122	6.265991	3.272337	6.733618	6.237412	"growth factor receptor bound protein 14"
"PAX2"	7.257891	4.853667	4.519395	7.15716	4.870835	5.614222	6.98327	4.582712	4.888995	"paired box 2"
"LHX1"	8.635604	3.370152	4.560412	8.846324	4.841472	4.385069	7.598995	3.514161	3.694368	"LIM homeobox 1"
"KPNA5"	7.260583	6.284407	7.148412	7.235459	5.403479	4.807187	7.776366	6.71516	6.645137	"karyopherin subunit alpha 5"
"TIMP4"	11.38576	6.561314	6.365953	10.711608	7.390305	7.441142	9.943785	6.837036	7.743752	"TIMP metallopeptidase inhibitor 4"
"EGF"	4.123279	5.49012	5.644835	5.011951	6.611142	6.784289	4.794558	5.749231	6.140343	"epidermal growth factor"
"TLR3"	4.923633	4.872947	4.216023	5.430871	6.295515	6.955449	4.045993	5.496699	5.588557	"toll like receptor 3"
"CDH18"	10.999437	9.729375	7.286185	10.533335	8.229846	7.15413	10.481366	9.414124	8.526429	"cadherin 18"
"ADCYAP1"	6.482656	8.278296	5.998975	5.541267	5.278063	3.38747	6.75845	7.515633	6.341858	"adenylate cyclase activating polypeptide 1"
"NEUROD1"	12.426365	7.286097	7.003486	11.98538	6.155034	6.353471	11.584022	7.681168	8.419953	"neuronal differentiation 1"
"NTS"	4.693961	3.029625	4.320303	6.076078	4.428906	8.400027	4.988346	3.995254	7.443699	"neurotensin"
"IL18"	4.744495	5.721153	4.53395	5.046359	7.691225	7.485315	4.692462	6.303334	6.137892	"interleukin 18"
"CRLF1"	6.576177	8.630433	6.956566	4.715824	8.998156	8.57078	6.048403	8.576235	7.710889	"cytokine receptor like factor 1"
"CDH15"	8.118745	3.178265	5.124059	7.847983	4.215553	3.884529	7.144635	2.790869	4.299364	"cadherin 15"
"EXTL1"	5.306391	7.560731	6.835427	3.454369	6.727355	5.732206	5.95114	7.3197	6.711646	"exostosin like glycosyltransferase 1"
"CARTPT"	5.499979	9.332803	8.209896	4.988927	7.848849	7.744221	6.799073	8.879069	7.956065	"CART prepropeptide"
"PTGDR2"	5.53338	6.343407	4.562926	6.682001	7.593826	7.497121	6.306804	6.802671	6.461525	"prostaglandin D2 receptor 2"
"ZIC1"	14.508089	9.881366	10.027099	14.578341	12.32692	10.726085	13.691753	11.373218	11.10814	"Zic family member 1"
"CACNG3"	3.42476	10.752413	7.313441	3.993501	6.975597	6.40766	5.608429	9.832771	8.162859	"calcium voltage-gated channel auxiliary subunit gamma 3"
"FGF9"	10.522491	8.700585	8.36133	10.110011	7.306833	7.070503	10.106942	8.619421	8.14372	"fibroblast growth factor 9"
"FER"	5.501361	5.769664	4.880452	4.578701	6.461472	7.134438	6.491855	6.098023	6.133475	"FER tyrosine kinase"
"TLL1"	6.139588	3.64834	4.575466	6.287248	3.772187	3.270406	5.080089	3.800542	4.494385	"tolloid like 1"
"IGSF6"	4.106694	5.442254	4.952047	5.394212	6.925671	7.31755	4.870394	5.496459	5.666053	"immunoglobulin superfamily member 6"
"LIN7A"	6.870672	5.000292	6.683203	6.650746	4.519323	4.521236	7.11876	5.618594	5.619107	"lin-7 homolog A, crumbs cell polarity complex component"
"RORB"	4.055822	7.410753	6.990276	3.637967	6.727623	6.271806	5.962802	7.543084	5.298544	"RAR related orphan receptor B"
"GABRA5"	3.737831	9.579722	8.630769	4.036363	7.353834	7.741064	4.635073	9.716532	9.379843	"gamma-aminobutyric acid type A receptor alpha5 subunit"
"OCA2"	4.18198	6.771274	8.80114	5.112802	5.40065	6.307405	4.920318	5.752993	6.547178	"OCA2 melanosomal transmembrane protein"
"CYP4F3"	4.246443	4.184572	4.854074	5.53303	6.523852	7.358123	4.025489	5.845484	6.421712	"cytochrome P450 family 4 subfamily F member 3"
"KLKB1"	6.604845	5.264908	7.015111	5.134052	7.440022	7.66632	5.371272	5.893707	6.403783	"kallikrein B1"
"ZNF702P"	9.121726	5.226923	5.346661	8.703861	5.356516	5.522573	8.467741	6.434243	6.332504	"zinc finger protein 702, pseudogene"
"VIP"	5.692337	6.580381	5.56075	4.497652	6.123627	5.421008	4.220643	7.676631	6.029827	"vasoactive intestinal peptide"
"MKRN3"	4.36333	5.168871	3.490722	3.799174	5.506306	6.214326	4.50716	4.106633	4.958244	"makorin ring finger protein 3"
"USP9Y"	6.129341	4.357841	4.006098	4.309671	4.519444	4.478386	3.441066	4.920651	5.130982	"ubiquitin specific peptidase 9 Y-linked"
"P2RY14"	6.604788	7.186142	8.608479	6.665597	9.059783	8.428663	6.197577	7.166848	7.351912	"purinergic receptor P2Y14"
"FLT3"	7.963369	5.052797	6.685758	7.475584	5.638503	4.701439	7.45252	5.908125	5.681013	"fms related tyrosine kinase 3"
"KRT31"	8.677722	6.300353	5.674175	8.14723	6.364717	5.76804	8.028468	5.896093	5.60822	"keratin 31"
"GABRA1"	11.337049	11.625002	9.191377	11.428149	9.169465	6.867837	11.759307	11.043942	9.923137	"gamma-aminobutyric acid type A receptor alpha1 subunit"
"NTF3"	8.500371	3.800114	4.298833	8.533026	5.317179	4.270191	7.607445	4.492191	5.330573	"neurotrophin 3"
"TFEC"	4.255718	4.764099	4.824408	4.433487	6.808204	6.833045	4.869914	5.144008	5.37804	"transcription factor EC"
"HPGDS"	5.476343	6.447262	4.792897	6.325251	7.565886	7.663917	5.289055	6.678194	6.324624	"hematopoietic prostaglandin D synthase"
"ECE2"	8.144638	6.023202	6.807056	7.721029	5.451845	5.732938	7.423666	6.420276	5.807808	"endothelin converting enzyme 2"
"GPRIN2"	9.310635	6.448511	7.134631	9.526633	7.471474	7.357441	8.975006	6.934553	7.091144	"G protein regulated inducer of neurite outgrowth 2"
"PTH2R"	3.226675	7.375561	6.314582	2.956507	6.480168	5.355606	3.564469	7.279921	4.911819	"parathyroid hormone 2 receptor"
"LY6H"	5.531157	10.28338	9.552232	6.035191	8.83915	8.956259	6.90667	10.319306	9.9442	"lymphocyte antigen 6 family member H"
"SEMA3A"	5.151454	6.631909	6.318359	5.327826	7.162228	7.774659	5.359034	7.079176	6.34962	"semaphorin 3A"
"GABRG2"	9.274336	9.536301	6.974862	9.652361	7.069085	6.18561	10.294581	9.254122	9.054006	"gamma-aminobutyric acid type A receptor gamma2 subunit"
"EPHA7"	6.785447	4.134587	3.811063	6.629	5.443642	4.57815	6.841084	5.616615	6.045746	"EPH receptor A7"
"DAO"	10.310754	5.949166	7.152983	9.812602	6.957128	7.349467	9.793694	6.431511	7.529578	"D-amino acid oxidase"
"SLC1A6"	9.716942	7.01184	5.971387	10.055568	5.362993	5.44848	10.723714	6.876416	7.418108	"solute carrier family 1 member 6"
"CDH19"	5.357829	7.024087	7.933049	5.811955	8.805785	9.732165	6.249653	7.837045	7.972232	"cadherin 19"
"NTSR2"	6.484927	9.1325	6.754607	5.355008	9.422849	9.517977	8.06667	10.096619	9.477853	"neurotensin receptor 2"
"ICAM5"	5.177102	9.344097	8.881836	5.219823	7.702401	7.702611	4.718414	8.848232	8.595235	"intercellular adhesion molecule 5"
"CRTAM"	12.36058	3.668471	4.126545	12.505754	4.576602	3.433342	11.442868	4.824657	4.830395	"cytotoxic and regulatory T cell molecule"
"PCDH8"	5.462324	10.463262	8.605513	5.135328	7.006236	5.893505	5.14741	9.686839	8.968704	"protocadherin 8"
"LPAR4"	5.369405	3.752661	5.460869	5.569065	6.338668	7.63993	4.699011	5.393596	6.149358	"lysophosphatidic acid receptor 4"
"CNTN2"	5.704704	6.468574	8.028174	5.476308	7.618646	9.031408	7.343988	8.040005	8.55113	"contactin 2"
"CXCR2"	3.75298	4.937043	4.290683	5.262938	6.185421	4.882179	4.837296	4.979746	4.670694	"C-X-C motif chemokine receptor 2"
"SLC30A3"	3.812731	7.985846	6.691746	3.638454	4.135464	4.351617	4.142095	6.480478	5.526549	"solute carrier family 30 member 3"
"SLC6A11"	6.234097	5.481709	3.726102	6.569124	6.282976	5.431597	5.992665	6.60823	6.278795	"solute carrier family 6 member 11"
"EN2"	10.494446	4.171011	2.474606	10.851342	5.168535	4.314687	9.313402	3.222991	4.587269	"engrailed homeobox 2"
"TTTY14"	6.202533	4.500881	4.989136	4.616905	5.264519	5.340949	3.010497	4.393567	5.08248	"testis-specific transcript, Y-linked 14"
"RGR"	5.448204	7.603794	8.341775	5.810421	8.070054	6.899231	5.94586	7.758733	6.674018	"retinal G protein coupled receptor"
"KCND2"	10.823243	8.432036	5.152727	10.613758	7.452184	7.122928	10.703988	8.513299	8.473156	"potassium voltage-gated channel subfamily D member 2"
