"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"	"Annotation"
"PSBD"	5.945463	5.446137	5.497366	5.344528	5.600965	5.261391	6.169026	7.180602	8.020738	8.460914	7.995419	7.474933	7.082051	7.36325	5.750442	6.221055	6.074781	6.402322	5.944824	5.589218	5.514089	5.333307	5.791902	5.651629	5.423448	5.342207	5.335624	5.515644	"PSII D2 protein"
"PSBC"	6.749109	7.449942	7.205217	6.942296	6.837488	7.080376	7.919281	9.230138	10.415488	10.209871	10.486788	10.061017	10.251167	10.293465	7.22643	7.528583	7.724897	7.769698	7.409579	7.597232	7.272045	6.991334	7.159398	7.226589	6.255529	6.480266	6.759919	6.936035	"chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element."
"PSAA"	4.020815	3.541439	5.120763	4.024188	3.466958	4.142791	5.88529	5.765713	6.637058	6.788321	7.134719	6.821045	6.333435	6.364583	4.931371	6.328478	5.951385	5.799188	5.925585	5.189418	5.588858	5.301407	5.549806	5.034333	3.141647	4.197897	4.416795	3.338971	"Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome."
"NDHJ"	3.379123	4.151696	5.718773	4.029754	5.274175	5.025094	6.698683	6.387302	7.520282	7.34296	7.168964	6.785675	7.379647	6.625338	4.631683	4.308456	5.1937	6.069948	5.313677	5.371187	6.173375	3.197704	3.685904	5.415681	4.336754	2.395497	4.538784	4.003358	"Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion."
"PSBG"	5.147579	5.35516	5.41741	5.150281	4.085722	4.90859	5.855665	6.473029	7.204485	7.388515	7.58731	6.979283	6.832445	6.756208	4.985222	5.369808	5.665191	5.885112	5.529928	5.241775	4.150412	4.761201	4.235938	4.631635	4.512144	5.075186	4.749082	5.109838	"Encodes a protein which was originally thought to be part of photosystem II but its wheat homolog was later shown to encode for subunit K of NADH dehydrogenase."
"YCF4"	6.818241	7.147589	6.950593	6.930364	6.598243	6.854821	7.648996	9.375214	9.844353	9.704023	9.554923	8.734889	8.97873	8.70295	7.234387	8.237092	7.780171	7.86088	7.143329	6.815559	7.360026	6.502208	6.510733	6.246785	6.573906	5.933558	6.367261	6.328711	"Encodes a protein required for photosystem I assembly and stability. In cyanobacteria, loss of function mutation in this gene increases PSII/PSI ratio without any influence on photoautotrophic growth."
"YCF10"	7.145389	8.971276	8.229754	8.183	7.38885	7.816707	8.635551	10.982938	11.547223	11.547715	11.271281	10.559081	10.619016	10.44521	8.663401	9.296841	9.122202	9.20936	8.23307	8.391953	8.435519	7.853907	7.861989	7.84013	7.810011	6.761612	7.310606	7.905771	"hypothetical protein"
"ATPF"	7.010886	7.2693	6.960756	7.337993	6.595802	6.896724	7.910309	8.539369	9.873446	9.570018	9.743189	8.969681	9.285746	9.124164	7.495522	7.813535	7.909941	8.067322	7.392687	6.73734	7.340565	5.65529	6.511004	6.197475	6.218447	5.848378	5.230252	5.636016	"ATPase F subunit."
"ARD..ARD3..ATARD3"	6.780347	6.476614	6.899476	7.588209	10.154007	8.602797	8.365338	8.436287	6.71868	8.612502	9.60977	10.046828	8.767161	9.072192	7.829769	8.288879	9.393826	9.042886	10.15477	11.326123	10.998588	7.97306	10.263372	10.533729	9.871454	11.493753	11.895425	12.20534	"Encodes a protein predicted to belong to the acireductone dioxygenase (ARD/ARD)family., Encodes a protein predicted to belong to the acireductone dioxygenase (ARD/ARD)family., Encodes a protein predicted to belong to the acireductone dioxygenase (ARD/ARD)family."
"PLA..PLA2A..PLAII..PLP2"	8.810801	8.486036	10.101903	10.062445	10.00594	11.475541	11.2009	5.444305	5.713314	8.317692	8.886937	10.018041	10.050742	9.505762	5.193717	5.792254	7.56187	8.4986	8.156123	9.350653	8.81179	4.804314	8.017107	9.010154	10.168209	10.208646	11.081394	10.508773	"Encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells. Plays a role in cell death and differentially affects the accumulation of oxylipins. Contributes to resistance to virus., Encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells. Plays a role in cell death and differentially affects the accumulation of oxylipins. Contributes to resistance to virus., Encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells. Plays a role in cell death and differentially affects the accumulation of oxylipins. Contributes to resistance to virus., Encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells. Plays a role in cell death and differentially affects the accumulation of oxylipins. Contributes to resistance to virus."
"PSBA"	7.274627	7.124091	7.159908	7.140015	6.493893	7.033607	8.294495	9.036837	10.867098	11.414316	11.861119	10.796917	11.249457	10.959437	8.099691	8.966146	7.086988	8.135041	7.962784	7.654515	7.613377	7.007612	7.445437	6.480796	6.159194	5.810709	6.135086	6.849378	"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"
"RCA"	6.53647	6.047332	4.608975	5.743211	4.896545	6.151884	6.406554	9.796818	10.634501	10.402634	10.692027	10.421314	9.69939	10.497351	7.988367	7.292584	7.566426	8.313531	8.574135	8.093715	8.20101	8.060478	8.568458	8.640812	8.926721	8.325635	8.826778	9.311379	"Rubisco activase, a nuclear-encoded chloroplast protein that consists of two isoforms arising from alternative splicing in most plants. Required for the light activation of rubisco."
"GH3.3"	9.265147	8.650528	7.156405	7.683782	8.574662	5.940205	7.694419	11.607467	11.854337	11.017074	12.167191	11.85961	11.067696	12.023366	12.601218	12.561167	12.242509	11.837394	11.951151	12.805114	13.233465	10.578463	11.138721	11.918254	10.430304	10.818907	11.06479	10.773367	"encodes an IAA-amido synthase that conjugates Asp and other amino acids to auxin in vitro."
"CYP98A3"	10.125459	9.534948	8.698469	7.538034	7.23719	7.454798	7.778135	12.718524	12.215716	11.883832	10.879974	10.467717	10.48947	10.502052	12.652054	12.684841	12.166279	12.312548	12.289999	12.071099	12.165712	12.198512	12.323556	12.355898	12.337173	11.799803	12.236146	12.14177	"encodes coumarate 3-hydroxylase (C3H), a P450-dependent monooxygenase. Involved in lignin biosynthesis and flavonoid biosynthesis.  Also affects the biosynthesis of coumarins such as scopoletin and scopolin as a branching-out-pathway from the phenylpropanoid acid level."
"AT.HSFB3..HSFB3"	3.87758	4.492724	2.559165	2.730552	3.806591	2.020544	2.085329	5.914751	5.474664	5.79642	3.66486	4.082317	2.791503	5.199923	3.710857	5.484717	6.270432	5.807393	5.113798	4.901673	5.5821	3.881925	4.110805	5.930431	5.783437	5.306528	3.083016	3.623898	"member of Heat Stress Transcription Factor (Hsf) family, member of Heat Stress Transcription Factor (Hsf) family"
"GPDHC1"	7.268655	7.184592	6.67394	6.439758	6.33172	6.867425	7.380701	8.493781	9.104537	8.880461	8.645114	7.763013	7.964263	7.984214	10.163054	11.950727	12.246683	11.278517	10.781287	9.7812	10.046003	8.529425	8.603498	9.809903	8.591734	7.958344	8.11475	7.715184	"Encodes a protein with NAD-dependent glycerol-3-phosphate (G3P) dehydrogenase which was shown to complement an Escherichia coli strain: BB20-14, auxotrophic for glycerol/G3P due to a loss-of-function mutation in the gpsA gene."
"CAO..CPSRP43"	3.053236	4.308467	3.543521	4.584731	3.732012	3.528288	4.984141	5.807385	5.999999	5.54259	5.958519	5.882457	5.817468	6.306444	3.085331	3.517272	4.525849	4.743812	5.772367	4.189186	4.571465	4.396079	3.256375	3.347684	5.314303	4.328257	2.980377	5.217467	"A component of the chloroplast signal recognition particle pathway that is involved in LHCP targeting.  It is downregulated in response to high light. It recognizes the DPLG motif in Lhcb1., A component of the chloroplast signal recognition particle pathway that is involved in LHCP targeting.  It is downregulated in response to high light. It recognizes the DPLG motif in Lhcb1."
"ATRAD51C..RAD51C"	4.364737	5.116818	5.513701	5.699774	5.96373	6.864292	6.80607	1.725052	3.213232	4.144304	5.609783	5.714954	5.70501	5.939229	2.331701	3.190949	4.702722	3.902646	6.15855	6.020166	6.036925	3.35482	3.767666	5.510945	3.851763	3.646111	4.623332	6.158708	"Encodes a protein similar to RAD51C involved in double stranded break repair via homologous recombination. Sensitive to DSB induced by Mitomycin C and gamma irradiation, interacts with Atxrcc3 in yeast two-hybrid assay.  Required for female meiosis but not critical for mitosis under normal conditions., Encodes a protein similar to RAD51C involved in double stranded break repair via homologous recombination. Sensitive to DSB induced by Mitomycin C and gamma irradiation, interacts with Atxrcc3 in yeast two-hybrid assay.  Required for female meiosis but not critical for mitosis under normal conditions."
"RALF18..RALFL18"	5.249967	3.071987	4.060249	3.462451	5.07819	3.395636	4.627147	4.943362	5.443315	4.130698	6.187746	6.352211	5.512901	6.556997	5.183282	4.889095	5.345247	6.750812	5.809261	4.962957	5.48428	4.195788	4.842752	4.416525	5.127023	4.851312	5.620592	5.302916	"Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide., Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide."
"ATCSLD1..CSLD1"	6.289219	6.363222	4.394177	3.755785	2.607063	4.356648	4.001082	6.567886	5.68325	5.592738	5.025068	5.626333	4.863743	5.255299	6.287144	5.086551	4.68401	4.536844	3.977411	4.48272	4.302838	6.193422	5.405786	2.553841	4.987373	4.026602	4.848284	4.987531	"encodes a gene similar to cellulose synthase, encodes a gene similar to cellulose synthase"
"LRP1"	5.979617	5.828116	5.874113	6.169509	7.012824	4.22399	6.21688	8.758222	8.833328	7.96652	8.077742	8.297924	7.959242	8.017109	7.655457	8.353186	8.551443	8.535259	8.567363	8.941364	9.088026	6.874583	8.070511	8.902382	9.112344	8.779561	8.782661	9.292759	"A member of SHI gene family. Arabidopsis thaliana has ten members that encode proteins with a RING finger-like zinc finger motif. Despite being highly divergent in sequence, many of the SHI-related genes are partially redundant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis. Expressed in lateral root primordia and induced by auxin.  SWP1 is involved in the repression of LRP1 via histone deacetylation."
"CP22..NPQ4..PSBS"	5.96487	5.410862	4.651849	5.286588	5.425672	5.492087	5.513018	8.833115	8.525967	8.851791	8.897272	8.031273	8.913235	8.231387	7.735326	7.382439	6.699376	7.919904	7.497028	7.335467	7.41644	7.359817	6.829989	6.828174	7.827307	6.937986	6.972536	7.460472	"Encoding PSII-S (CP22), a ubiquitous pigment-binding protein associated with photosystem II (PSII) of higher plants. Involved in nonphotochemical quenching rather than in photosynthesis. Mutant has a normal violaxanthin cycle but has a limited capacity of quenching singlet excited chlorophylls and is tolerant to lipid peroxidation., Encoding PSII-S (CP22), a ubiquitous pigment-binding protein associated with photosystem II (PSII) of higher plants. Involved in nonphotochemical quenching rather than in photosynthesis. Mutant has a normal violaxanthin cycle but has a limited capacity of quenching singlet excited chlorophylls and is tolerant to lipid peroxidation., Encoding PSII-S (CP22), a ubiquitous pigment-binding protein associated with photosystem II (PSII) of higher plants. Involved in nonphotochemical quenching rather than in photosynthesis. Mutant has a normal violaxanthin cycle but has a limited capacity of quenching singlet excited chlorophylls and is tolerant to lipid peroxidation."
"AtMYB18..LAF1..MYB18"	6.661299	5.369498	4.462672	3.771691	3.393125	4.435468	4.612835	9.392837	6.995493	7.976191	6.771032	7.012027	7.64309	7.554916	8.117827	7.008787	5.82043	7.06685	6.756396	7.244598	7.344191	8.527646	5.991416	5.530022	5.36284	5.787988	6.130011	5.465422	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"AtCML8..CAM8..CML8"	7.265404	5.785539	4.549537	4.775854	4.822955	5.939435	5.400742	6.842146	4.52436	6.370085	4.985313	4.977388	3.573375	4.32184	7.032296	5.159381	5.270915	6.267037	4.498296	6.368698	5.598768	7.933503	4.283327	3.43751	4.041558	5.579382	5.237451	5.314652	"encodes a divergent member of calmodulin, which is an EF-hand family of Ca2+-binding proteins. This gene is expressed in leaves, flowers and siliques. The gene functionally complements yeast calmodulin 1 (CAM1). Also the protein does not form formed a complex with a basic amphiphilic helical peptide in the presence of Ca2+ in vitro. Authors suggest that this gene may represent a Ca2+-binding sensor protein that interacts with a more limited set of target proteins than do more conventional CaM isoforms., encodes a divergent member of calmodulin, which is an EF-hand family of Ca2+-binding proteins. This gene is expressed in leaves, flowers and siliques. The gene functionally complements yeast calmodulin 1 (CAM1). Also the protein does not form formed a complex with a basic amphiphilic helical peptide in the presence of Ca2+ in vitro. Authors suggest that this gene may represent a Ca2+-binding sensor protein that interacts with a more limited set of target proteins than do more conventional CaM isoforms., encodes a divergent member of calmodulin, which is an EF-hand family of Ca2+-binding proteins. This gene is expressed in leaves, flowers and siliques. The gene functionally complements yeast calmodulin 1 (CAM1). Also the protein does not form formed a complex with a basic amphiphilic helical peptide in the presence of Ca2+ in vitro. Authors suggest that this gene may represent a Ca2+-binding sensor protein that interacts with a more limited set of target proteins than do more conventional CaM isoforms."
"X04C11..ATPEN1..PEN1"	3.880104	2.976933	1.548469	1.163834	4.309288	3.463203	3.377792	6.85447	5.378718	5.286201	4.750627	6.152183	5.61446	6.117928	8.362768	6.509991	6.350726	5.117257	8.035491	8.084572	7.614389	8.246744	9.16567	8.897625	6.473674	8.457008	9.063673	9.568062	"Encodes a protein that catalyzes the production of the tricyclic triterpene arabidiol when expressed in yeast., Encodes a protein that catalyzes the production of the tricyclic triterpene arabidiol when expressed in yeast., Encodes a protein that catalyzes the production of the tricyclic triterpene arabidiol when expressed in yeast."
"KINESIN.12A..PAKRP1"	5.310322	6.000686	6.303908	6.907675	6.796827	7.416722	7.423235	3.749339	3.781191	5.644561	5.846356	6.371009	6.853363	5.079079	4.651563	5.437969	5.635254	5.356243	6.195949	6.42395	5.757689	4.105623	5.383604	5.894681	3.985661	4.640475	5.900548	6.232495	"Microtubule motor kinesin PAKRP1/Kinesin-12A. Together with PAKRP1L/Kinesin-12B, serve as linkers of the plus ends of antiparallel microtubules in the phragmoplast., Microtubule motor kinesin PAKRP1/Kinesin-12A. Together with PAKRP1L/Kinesin-12B, serve as linkers of the plus ends of antiparallel microtubules in the phragmoplast."
"ATOPT3..OPT3"	4.203096	4.353719	2.879195	4.065597	3.539088	3.275717	5.53659	7.079748	5.395431	6.661812	5.771181	5.205925	5.746879	5.895727	5.899527	5.156505	4.285227	6.958288	6.858682	6.334651	6.857534	6.162181	5.001787	6.175621	6.869493	6.182686	5.805714	7.134446	"Encodes an oligopeptide transporter involved in  metal homeostasis., Encodes an oligopeptide transporter involved in  metal homeostasis."
"CBL6..SCABP2"	7.686196	6.799805	5.361395	5.780885	5.901873	4.920352	5.762875	7.204219	6.131909	6.342253	5.76623	6.818238	5.275354	5.702603	7.132763	4.718114	3.509932	5.339612	5.291651	3.867051	3.805856	8.534788	6.532614	5.754202	6.413388	7.674138	6.887993	5.965332	"Calcium sensor protein. Binds CIPK14., Calcium sensor protein. Binds CIPK14."
"XTH15..XTR7"	8.353904	6.946266	4.521995	5.602898	5.876361	5.927095	6.083627	11.330701	9.27111	9.573657	9.091268	9.343847	8.86897	8.989567	12.984164	11.063806	8.84409	10.160228	10.043901	10.732462	10.287083	11.673042	10.91116	10.060143	11.853132	11.326647	11.90299	12.07717	"xyloglucan endotransglycosylase-related protein (XTR7), xyloglucan endotransglycosylase-related protein (XTR7)"
"ATMES16..MES16"	3.832855	3.944297	2.988725	5.354625	4.570212	4.814673	4.575524	4.140902	4.29983	5.836081	5.353627	6.179507	5.722242	6.80729	3.685998	2.027183	5.516275	5.653646	5.478886	4.996509	5.147054	4.889395	5.122824	5.667378	5.515599	5.475055	5.656474	6.096949	"Encodes a protein shown to have carboxylesterase activity, methyl IAA esterase activity, and methyl jasmonate esterase activity in vitro. This protein does not act on MeSA, MeGA4, or MEGA9 in vitro. Although MES16 is similar to MES17, a MeIAA hydrolase, two mes16 mutant lines (SALK_151578) and (SALK_139756) do not show altered sensitivity to MeIAA in root growth assays. MES16 transcripts appear to be more than 10-fold less abundant than those of MES17 in roots., Encodes a protein shown to have carboxylesterase activity, methyl IAA esterase activity, and methyl jasmonate esterase activity in vitro. This protein does not act on MeSA, MeGA4, or MEGA9 in vitro. Although MES16 is similar to MES17, a MeIAA hydrolase, two mes16 mutant lines (SALK_151578) and (SALK_139756) do not show altered sensitivity to MeIAA in root growth assays. MES16 transcripts appear to be more than 10-fold less abundant than those of MES17 in roots."
"UGT84A3"	4.705486	4.173981	4.014336	2.815225	3.234335	4.653418	3.400608	5.021994	5.586285	5.561679	6.173841	5.724028	5.603337	6.162716	4.738116	5.909555	6.813038	7.225933	7.016742	7.261965	7.626713	5.33781	4.457129	5.335448	5.376404	5.355518	4.863759	4.73774	"Encodes a protein that might have sinapic acid:UDP-glucose glucosyltransferase activity."
"LIL3.1"	3.353697	4.341871	3.43864	5.212954	3.03528	4.613066	5.041495	5.549592	5.699172	5.325421	5.881427	5.66199	5.154919	5.088923	3.514114	3.301903	4.533668	5.00718	5.285416	4.961827	4.686511	4.265284	4.747643	4.971384	5.301694	4.779333	4.787525	5.079164	"Encodes Lil3:1 (light-harvesting-like) protein.  Belongs to the Lhc super-gene family encodes the light-harvesting chlorophyll a/b-binding (LHC) proteins that constitute the antenna system of the photosynthetic apparatus.  A generic LHC motif is present in Lil3:1."
"MYB39"	3.345311	5.30913	3.957699	2.76635	4.807133	2.121196	2.157438	5.201247	5.479549	7.46405	7.815253	4.619303	5.362384	5.135146	10.447417	10.473734	11.516388	11.62597	10.52348	9.324021	9.038238	6.89985	8.15285	9.395462	8.852575	7.209072	6.588058	6.169207	"Encodes a putative transcription factor (MYB39)."
"RALFL32"	8.332255	7.951172	8.266839	7.62771	7.834339	7.565176	8.35311	10.332219	10.688281	9.711892	9.459613	9.478733	9.22822	9.208129	12.51479	12.308746	11.861249	11.64122	11.666147	11.539002	11.845474	11.33125	12.689574	12.714235	12.060515	11.399925	11.985132	11.889754	"Member of a diversely expressed predicted peptide family showing sequence similarity to tobacco Rapid Alkalinization Factor (RALF), and is believed to play an essential role in the physiology of Arabidopsis.  Consists of a single exon and is characterized by a conserved C-terminal motif and N-terminal signal peptide."
"ATMAP70.5..MAP70.5"	6.05227	4.027367	2.799561	3.173966	3.998512	4.754044	4.103587	9.871999	8.161625	8.315332	6.895013	7.229555	7.404342	7.402146	9.553736	8.918741	7.362369	8.461113	8.787594	8.697146	8.160326	9.181302	8.475105	7.881457	8.551608	8.317463	8.159938	8.459621	"Encodes a microtubule associated protein (MAP70-5). Regulates secondary wall patterning in wood cells.  Expressed in all tissues., Encodes a microtubule associated protein (MAP70-5). Regulates secondary wall patterning in wood cells.  Expressed in all tissues."
"DALL1..PLA.I.beta.2"	5.709864	6.073348	6.29111	6.368038	5.777778	6.137845	6.454655	5.285476	3.146404	6.478263	6.973275	5.094861	4.187338	4.945222	7.461848	9.089727	10.080979	10.332823	8.442306	7.264814	7.563268	6.595752	6.889139	8.635526	8.819166	6.54448	6.178997	7.029399	"Encodes a lipase that hydrolyzes phosphatidylcholine, glycolipids as well as triacylglycerols., Encodes a lipase that hydrolyzes phosphatidylcholine, glycolipids as well as triacylglycerols."
"BAL..SNC1"	4.602346	4.37306	4.339661	3.611463	3.68218	3.525529	4.912321	5.171778	5.32438	5.80735	5.307549	6.111888	5.733495	5.397576	5.530991	5.567777	4.619697	4.99116	3.586765	3.88014	4.205912	4.245652	4.617774	4.496023	5.505334	4.84343	3.701589	3.791405	"Encodes a Toll Interleukin1 receptor-nucleotide binding-Leu-  rich repeat-type resistance gene (TIR-NB-LRR-type) involved in the salicylic acid-dependent defense response pathway. Mutant plants constitutively express pathogenesis-related (PR) genes and are pathogen resistant. Resistance signaling in snc1 requires EDS1, MOS3 and PAD4., Encodes a Toll Interleukin1 receptor-nucleotide binding-Leu-  rich repeat-type resistance gene (TIR-NB-LRR-type) involved in the salicylic acid-dependent defense response pathway. Mutant plants constitutively express pathogenesis-related (PR) genes and are pathogen resistant. Resistance signaling in snc1 requires EDS1, MOS3 and PAD4."
