"feature"	"ontology"	"SVG"	"description"
"39"	"medulla_oblongata"	"UBERON_0001896"	"homo_sapiens.brain.svg"	"Organ component of neuraxis that has as its parts the medullary reticular formation, inferior olivary complex and cochlear nuclear complex, among other structures[FMA]. The medulla oblongata lies directly above the spinal cord and controls vital autonomic functions such as digestion, breathing and the control of heart rate[GO]."
"40"	"middle_temporal_gyrus"	"UBERON_0002771"	"homo_sapiens.brain.svg"	"Component of the temporal lobe, lateral aspect. The rostral boundary is the rostral extent of the superior temporal sulcus whereas the caudal boundary is the temporo-occipital incisure on the cortical surface. The superior temporal sulcus is the medial boundary and the inferior temporal sulcus is the lateral boundary (Christine Fennema-Notestine)."
"41"	"caudate_nucleus"	"UBERON_0001873"	"homo_sapiens.brain.svg"	"Subcortical nucleus of telecephalic origin consisting of an elongated gray mass lying lateral to and bordering the lateral ventricle. It is divided into a head, body and tail in some species."
"42"	"middle_frontal_gyrus"	"UBERON_0002702"	"homo_sapiens.brain.svg"	"Component of the frontal lobe, lateral aspect (Christine Fennema-Notestine)."
"43"	"occipital_lobe"	"UBERON_0002021"	"homo_sapiens.brain.svg"	"Posterior part of the cerebral hemisphere (MSH)"
"44"	"parietal_lobe"	"UBERON_0001872"	"homo_sapiens.brain.svg"	"Upper central part of the cerebral hemisphere. (MSH)"
"45"	"pineal_gland"	"UBERON_0001905"	"homo_sapiens.brain.svg"	"A midline, cone like structure located in the dorso-caudal roof of the 3rd ventricle, attached by peduncles to the habenular and posterior commissures. The stalk contains nerve fibers, blood vessels, connective tissue and parenchymal cells (Paxinos, The Rat Central Nervous System, 2nd ed, pg 399)."
"46"	"substantia_nigra"	"UBERON_0002038"	"homo_sapiens.brain.svg"	"Predominantly gray matter midbrain structure lying dorsal to the crus cerebri and ventral to the midbrain tegmentum. It is divided into a dorsal, cellularly compact region known as the pars compacta and a more ventrally located, containing more loosely packed cells, the pars reticulata. The most lateral region of the reticulata is identified as the pars lateralis (MM)."
"47"	"thalamus"	"UBERON_0001897"	"homo_sapiens.brain.svg"	"Subcortical brain region consisting of paired gray matter bodies in the dorsal diencephalon and forming part of the lateral wall of the third ventricle of the brain. The thalamus represents the major portion of the diencephalon and is commonly divided into cellular aggregates known as nuclear groups.(MeSH). The dorsal topographic division of the interbrain. The macrodissected adult human thalamus was clearly illustrated by Vesalius in 1543 and the term as defined here was introduced by His in 1893. It includes the traditional epithalamus, dorsal thalamus, and ventral thalamus of Herrick (1910, pp. 494, 498). Also see Kuhlenbeck (1927, Ch. 9) and Jones (1985, p. 87)."
"48"	"putamen"	"UBERON_0001874"	"homo_sapiens.brain.svg"	"Subcortical nucleus of telencephalic , which together with the caudate nucleus, forms the striatum. The putamen lies lateral to the internal capsule and medial to the external medullary lamina, and is separated from the caudate nucleus by the fibers of the internal capsule for most of its length, except at its anterior portion."
"49"	"globus_pallidus"	"UBERON_0001875"	"homo_sapiens.brain.svg"	"Subcortical nucleus, functionally part of the basal ganglia, which consists of two segments the external (or lateral) and internal (or medial) separated by the medial medullary lamina in primates. In rodents, The globus pallidus lateral is separated from the medial segment by the fibers of the internal capsule/cerebral peduncle."
"50"	"meninx"	"UBERON_0002360"	"homo_sapiens.brain.svg"	"Membrane organ that surrounds the brain and the spinal cord."
"51"	"hypothalamus"	"UBERON_0001898"	"homo_sapiens.brain.svg"	"A specialized brain region of the ventral diencephalon arising near the end of the segmentation period; the embryonic hypothalamic region will give rise to the posterior pituitary gland as well as a number of brain nuclei. [ZFA]. One of the most important functions of the hypothalamus is to link the nervous system to the endocrine system via the pituitary gland (hypophysis).[Wikipedia]."
"52"	"hippocampus"	"UBERON_0002421"	"homo_sapiens.brain.svg"	"Hippocampus (proper) plus dentate gyrus and subiculum[definition derived from NIF comments and ontology alignment]."
"53"	"cingulate_cortex"	"UBERON_0003027"	"homo_sapiens.brain.svg"	"The cingulate cortex is a part of the brain situated in the medial aspect of the cortex. It is extended from the corpus callosum below to the cingulate sulcus above, at least anteriorly. [WP,unvetted]."
"54"	"amygdala"	"UBERON_0001876"	"homo_sapiens.brain.svg"	"Subcortical brain region lying anterior to the hippocampal formation in the temporal lobe and anterior to the temporal horn of the lateral ventricle in some species. It is usually subdivided into several groups. Functionally, it is not considered a unitary structure (MM)."
"55"	"prefrontal_cortex"	"UBERON_0000451"	"homo_sapiens.brain.svg"	"The anterior part of the frontal lobes of the brain, lying in front of the motor and premotor areas.nnThis brain region has been implicated in planning complex cognitive behaviors, personality expression, decision making and moderating correct social behavior. The basic activity of this brain region is considered to be orchestration of thoughts and actions in accordance with internal goals.nnThe most typical psychological term for functions carried out by the pre-frontal cortex area is executive function. Executive function relates to abilities to differentiate among conflicting thoughts, determine good and bad, better and best, same and different, future consequences of current activities, working toward a defined goal, prediction of outcomes, expectation based on actions, and social 'control' (the ability to suppress urges that, if not suppressed, could lead to socially-unacceptable outcomes).nnMany authors have indicated an integral link between a person's personality and the functions of the prefrontal cortex. - definition adapted from Wikipedia"
"56"	"cerebral_cortex"	"UBERON_0000956"	"homo_sapiens.brain.svg"	"The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex."
"57"	"temporal_lobe"	"UBERON_0001871"	"homo_sapiens.brain.svg"	"Lower lateral part of the cerebral hemisphere. (MSH)"
"58"	"cerebellum"	"UBERON_0002037"	"homo_sapiens.brain.svg"	"Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement[MESH]. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe[BTO]. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance[ZFA]."
"59"	"nucleus_accumbens"	"UBERON_0001882"	"homo_sapiens.brain.svg"	"A region of the brain consisting of a collection of neurons located in the forebrain ventral to the caudate and putamen. (caudoputamen in rodent) and continuous with these structures. There is no distinct boundary between the nucleus accumbens and the caudate/putamen, but in rodents, it can be identified by its lack of traversing fiber bundles in comparison to the dorsal striatum. Its principle neuron is the medium spiny neuron. Together with the neostriatum (caudate nucleus and putamen), the nucleus accumbens forms the striatum."
"60"	"telencephalic_ventricle"	"UBERON_0002285"	"homo_sapiens.brain.svg"	"A brain ventricle that is part of a telencephalon. In mammals and species with an evaginated telencephalon, this is one of a pair of lateral structures, one in each hemisphere"
"61"	"parotid.gland"	"UBERON_0001831"	"homo_sapiens.female.svg"	"The parotid gland is the largest of the salivary glands. It is found wrapped around the mandibular ramus, and it secretes saliva through Stensen's duct into the oral cavity, to facilitate mastication and swallowing. [WP,unvetted]."
"62"	"adipose_tissue"	"UBERON_0001013"	"homo_sapiens.female.svg"	"Portion of connective tissue composed of adipocytes enmeshed in areolar tissue"
"63"	"heart"	"UBERON_0000948"	"homo_sapiens.female.svg"	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."
"64"	"smooth_muscle"	"UBERON_0001135"	"homo_sapiens.female.svg"	"Muscle tissue which is unstriated, composed primarily of smooth muscle fibers surrounded by a reticulum of collagen and elastic fibers. Smooth muscle differs from striated muscle in the much higher actin/myosin ratio, the absence of conspicuous sarcomeres and the ability to contract to a much smaller fraction of its resting length[GO]."
"65"	"brain"	"UBERON_0000955"	"homo_sapiens.female.svg"	"The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell[WP]."
"66"	"breast"	"UBERON_0000310"	"homo_sapiens.female.svg"	"The upper ventral region of the torso of an organism."
"67"	"adrenal_gland"	"UBERON_0002369"	"homo_sapiens.female.svg"	"Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine[BTO]."
"68"	"pancreas"	"UBERON_0001264"	"homo_sapiens.female.svg"	"An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating enzymes[GO]."
"69"	"liver"	"UBERON_0002107"	"homo_sapiens.female.svg"	"An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes[GO]."
"70"	"colon"	"UBERON_0001155"	"homo_sapiens.female.svg"	"Last portion of the large intestine before it becomes the rectum."
"71"	"lymph_node"	"UBERON_0000029"	"homo_sapiens.female.svg"	"Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph."
"72"	"bone_marrow"	"UBERON_0002371"	"homo_sapiens.female.svg"	"the soft tissue that fills the cavities of bones"
"73"	"skeletal_muscle"	"UBERON_0001134"	"homo_sapiens.female.svg"	"Muscle tissue that consists primarily of skeletal muscle fibers."
"74"	"ovary"	"UBERON_0000992"	"homo_sapiens.female.svg"	"the gonad of a female organism which contains germ cells"
"75"	"leukocyte"	"CL_0000738"	"homo_sapiens.female.svg"	"An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."
"76"	"bladder"	"UBERON_0001255"	"homo_sapiens.female.svg"	"distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion[MP]."
"77"	"stomach"	"UBERON_0000945"	"homo_sapiens.female.svg"	"An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium."
"78"	"duodenum"	"UBERON_0002114"	"homo_sapiens.female.svg"	"The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one)."
"79"	"esophagus"	"UBERON_0001043"	"homo_sapiens.female.svg"	"Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993)."
"80"	"gall_bladder"	"UBERON_0002110"	"homo_sapiens.female.svg"	"An organ that aids digestion and stores bile produced by the liver[WP]."
"81"	"spleen"	"UBERON_0002106"	"homo_sapiens.female.svg"	"the organ that functions to filter blood and to store red corpuscles and platelets"
"82"	"small_intestine"	"UBERON_0002108"	"homo_sapiens.female.svg"	"Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and absorption of food takes place (with the exception of ruminants). The mammalian small intestine is long and coiled and can be differentiated histologically into: duodenum, jejunem, ileum[WP,cjm,Kardong]."
"83"	"placenta"	"UBERON_0001987"	"homo_sapiens.female.svg"	"organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin[GO]. The fetal portion of the placenta is known as the villous chorion. The maternal portion is known as the decidua basalis. The two portions are held together by anchoring villi that are anchored to the decidua basalis by the cytotrophoblastic shell."
"84"	"salivary_gland"	"UBERON_0001044"	"homo_sapiens.female.svg"	"saliva-secreting exocrine glands of the oral cavity[GO]"
"85"	"endometrium"	"UBERON_0001295"	"homo_sapiens.female.svg"	"the glandular mucous membrane lining of the uterine cavity that is hormonally responsive during the estrous/menstrual cycle and during pregnancy"
"86"	"fallopian_tube"	"UBERON_0003889"	"homo_sapiens.female.svg"	"Initial section of the oviduct through which the ova pass from the ovary to the uterus"
"87"	"uterus"	"UBERON_0000995"	"homo_sapiens.female.svg"	"the female muscular organ of gestation in which the developing embryo or fetus is nourished until birth"
"88"	"uterine_cervix"	"UBERON_0000002"	"homo_sapiens.female.svg"	"Lower, narrow portion of the uterus where it joins with the top end of the vagina."
"89"	"vagina"	"UBERON_0000996"	"homo_sapiens.female.svg"	"A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles[WP]."
"90"	"aorta"	"UBERON_0000947"	"homo_sapiens.female.svg"	"The main trunk of the systemic arterial system that carries blood from the heart to all the organs and other structures of the body, bringing oxygenated blood to all parts of the body in the systemic circulation"
"91"	"nerve"	"UBERON_0001021"	"homo_sapiens.female.svg"	"An enclosed, cable-like bundle of axons in the peripheral nervous system originating in a nerve root in the central nervous system (or a condensed nervous structure) connecting with peripheral structures."
"92"	"pituitary_gland"	"UBERON_0000007"	"homo_sapiens.female.svg"	"The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands [GO]. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin [ZFIN]."
"93"	"atrial_appendage"	"UBERON_0006618"	"homo_sapiens.female.svg"	"A small conical pouch projections located on the upper anterior portion of each atrium of the heart."
"94"	"ectocervix"	"UBERON_0012249"	"homo_sapiens.female.svg"	"The part of the cervix uteri that protrudes into the vagina and is lined with stratified squamous epithelium."
"95"	"gastroesophageal_junction"	"UBERON_0007650"	"homo_sapiens.female.svg"	"The junction between the esophagus and the stomach epithelium"
"96"	"hippocampus"	"UBERON_0002421"	"homo_sapiens.female.svg"	"Hippocampus (proper) plus dentate gyrus and subiculum[definition derived from NIF comments and ontology alignment]."
"97"	"caecum"	"UBERON_0001153"	"homo_sapiens.female.svg"	"A pouch in the digestive tract that connects the ileum with the ascending colon of the large intestine. It is separated from the ileum by the ileocecal valve, and is the beginning of the large intestine. It is also separated from the colon by the cecocolic junction."
"98"	"appendix"	"UBERON_0001154"	"homo_sapiens.female.svg"	"A blind-ended tube connected to the cecum, from which it develops embryologically[WP]."
"99"	"ileum"	"UBERON_0002116"	"homo_sapiens.female.svg"	"the portion of the small intestine that extends from the jejunum to the colon"
"100"	"left_atrium"	"UBERON_0002079"	"homo_sapiens.female.svg"	"A cardiac atrium that is in the left side of the heart. It receives oxygenated blood from the pulmonary veins, In mammals this is pumped into the left ventricle, via the Mitral valve."
"101"	"left_ventricle"	"UBERON_0002084"	"homo_sapiens.female.svg"	"A cardiac ventricle that is in the left side of the heart."
"102"	"pulmonary_valve"	"UBERON_0002146"	"homo_sapiens.female.svg"	"the semilunar valve of the heart that lies between the right ventricle and the pulmonary artery."
"103"	"mitral_valve"	"UBERON_0002135"	"homo_sapiens.female.svg"	"An atrioventricular valve that is part of the outflow part of the left atrium."
"104"	"diaphragm"	"UBERON_0001103"	"homo_sapiens.female.svg"	"A thin musculomebranous barrier that separates the abdominal and thoracic cavities. Often used for breathing control"
"105"	"pleura"	"UBERON_0000977"	"homo_sapiens.female.svg"	"The invaginated serous membrane that surrounds the lungs (the visceral portion) and lines the walls of the pleural cavity (parietal portion)."
"106"	"bone"	"UBERON_0002481"	"homo_sapiens.female.svg"	"Skeletal tissue with a collagen-rich extracellular matrix vascularized, mineralized with hydroxyapatite and typically including osteocytes located in lacunae that communicate with one another by cell processes (in canaliculi). Bone is deposited by osteoblasts."
"107"	"cartilage"	"UBERON_0007844"	"homo_sapiens.female.svg"	"Skeletal element that is composed of cartilage tissue and may be permanent or transient."
"108"	"bronchus"	"UBERON_0002185"	"homo_sapiens.female.svg"	"the upper conducting airways of the lung; these airways arise from the terminus of the trachea"
"109"	"trachea"	"UBERON_0003126"	"homo_sapiens.female.svg"	"The trachea is the portion of the airway that attaches to the bronchi as it branches [GO:dph]."
"110"	"lung"	"UBERON_0002048"	"homo_sapiens.female.svg"	"Respiration organ that develops as an oupocketing of the esophagus."
"111"	"throat"	"UBERON_0000341"	"homo_sapiens.female.svg"	"In anatomy, the throat is the anterior part of the neck, in front of the vertebral column. It consists of the pharynx and larynx. An important feature of the throat is the epiglottis, a flap which separates the esophagus from the trachea and prevents inhalation of food or drink. The throat contains various blood vessels, various pharyngeal muscles, the trachea (windpipe) and the esophagus. The hyoid bone and the clavicle are the only bones located in the throat of mammals. It is sometimes considered a synonym for fauces. [WP,unvetted]."
"112"	"rectum"	"UBERON_0001052"	"homo_sapiens.female.svg"	"the terminal portion of the intestinal tube, terminating with the anus"
"113"	"nasal_septum"	"UBERON_0001706"	"homo_sapiens.female.svg"	"The nasal septum separates the left and right airways in the nose, dividing the two nostrils. It is depressed by the Depressor septi nasi muscle. [WP,unvetted]."
"114"	"nasal_pharynx"	"UBERON_0001728"	"homo_sapiens.female.svg"	"the section of the pharynx that lies above the soft palate"
"115"	"tonsil"	"UBERON_0002372"	"homo_sapiens.female.svg"	"either of the two small almond-shaped masses of lymph tissue found on either side of the oropharynx"
"116"	"eye"	"UBERON_0000970"	"homo_sapiens.female.svg"	"An organ that detects light."
"117"	"cerebellum"	"UBERON_0002037"	"homo_sapiens.female.svg"	"Part of the metencephalon that lies in the posterior cranial fossa behind the brain stem. It is concerned with the coordination of movement[MESH]. A large dorsally projecting part of the brain concerned especially with the coordination of muscles and the maintenance of bodily equilibrium, situated between the brain stem and the back of the cerebrum , and formed in humans of two lateral lobes and a median lobe[BTO]. Brain structure derived from the anterior hindbrain, and perhaps including posterior midbrain. The cerebellum plays a role in somatic motor function, the control of muscle tone, and balance[ZFA]."
"118"	"cerebellar_hemisphere"	"UBERON_0002245"	"homo_sapiens.female.svg"	"A paired regions of the cerebellum that lie outside and lateral to the central vermis[MP]. The cerebellum consists of three parts, a median and two lateral, which are continuous with each other, and are substantially the same in structure. The median portion is constricted, and is called the vermis, from its annulated appearance which it owes to the transverse ridges and furrows upon it; the lateral expanded portions are named the hemispheres. The lateral hemisphere is considered the portion of the cerebellum to develop most recently. [WP,unvetted]."
"119"	"prefrontal_cortex"	"UBERON_0000451"	"homo_sapiens.female.svg"	"The anterior part of the frontal lobes of the brain, lying in front of the motor and premotor areas.nnThis brain region has been implicated in planning complex cognitive behaviors, personality expression, decision making and moderating correct social behavior. The basic activity of this brain region is considered to be orchestration of thoughts and actions in accordance with internal goals.nnThe most typical psychological term for functions carried out by the pre-frontal cortex area is executive function. Executive function relates to abilities to differentiate among conflicting thoughts, determine good and bad, better and best, same and different, future consequences of current activities, working toward a defined goal, prediction of outcomes, expectation based on actions, and social 'control' (the ability to suppress urges that, if not suppressed, could lead to socially-unacceptable outcomes).nnMany authors have indicated an integral link between a person's personality and the functions of the prefrontal cortex. - definition adapted from Wikipedia"
"120"	"frontal_cortex"	"UBERON_0001870"	"homo_sapiens.female.svg"	"Anterior portion of the neocortex, lying anterior to the central sulcus in humans. It is bounded by the parietal cortex posteriorly and the temporal cortex laterally[NIFSTD,modified]."
"121"	"nose"	"UBERON_0000004"	"homo_sapiens.female.svg"	"The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity."
"122"	"temporal_lobe"	"UBERON_0001871"	"homo_sapiens.female.svg"	"Lower lateral part of the cerebral hemisphere. (MSH)"
"123"	"cerebral_cortex"	"UBERON_0000956"	"homo_sapiens.female.svg"	"The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex."
"124"	"amygdala"	"UBERON_0001876"	"homo_sapiens.female.svg"	"Subcortical brain region lying anterior to the hippocampal formation in the temporal lobe and anterior to the temporal horn of the lateral ventricle in some species. It is usually subdivided into several groups. Functionally, it is not considered a unitary structure (MM)."
