"root_total__control"	"root_total__hypoxia"	"root_p35S__control"	"root_p35S__hypoxia"	"root_pSCR__control"	"root_pSCR__hypoxia"	"root_pSHR__control"	"root_pSHR__hypoxia"	"root_pWOL__control"	"root_pWOL__hypoxia"	"root_pGL2__control"	"root_pGL2__hypoxia"	"root_pSUC2__control"	"root_pSUC2__hypoxia"	"root_pSultr2.2__control"	"root_pCO2__control"	"root_pCO2__hypoxia"	"root_pPEP__control"	"root_pPEP__hypoxia"	"root_pRPL11C__control"	"root_pRPL11C__hypoxia"	"shoot_total__control"	"shoot_total__hypoxia"	"shoot_p35S__control"	"shoot_p35S__hypoxia"	"shoot_pGL2__control"	"shoot_pGL2__hypoxia"	"shoot_pRBCS__control"	"shoot_pRBCS__hypoxia"	"shoot_pSUC2__control"	"shoot_pSUC2__hypoxia"	"shoot_pSultr2.2__control"	"shoot_pCER5__control"	"shoot_pCER5__hypoxia"	"shoot_pKAT1__control"	"shoot_pKAT1__hypoxia"	"metadata"
"RPL22"	7.3470220225	7.03672209266667	4.48883011766667	4.411150045	6.34008175	6.768948054	6.0719701565	6.8962887945	6.0361679055	7.1792119285	6.44439993566667	6.2048867895	5.5992307745	6.32128475	5.779407713	7.863338979	7.5867311785	4.8574421365	5.978084475	4.4108420925	5.32546197	10.47735894	10.7497035866667	4.597963529	4.9198051195	6.35640529	6.1533513665	5.779545631	5.5641016875	6.222640614	6.261919999	6.0114870835	7.3010188925	8.3111158665	10.945574515	10.08578645	"ribosomal protein L22"
"NDHJ"	5.85465596625	5.79875681233333	5.252544908	5.292503507	5.7187875475	5.6738688685	5.652997625	5.5394977675	5.5271273905	5.8002007445	5.91794013666667	5.5345349705	5.1958397115	5.373747422	5.0451364665	5.771068608	5.287663782	5.110250271	5.541495959	5.1917430645	5.43824154	11.36169991	11.2656581	6.73996469	7.6719395305	8.384850916	8.1039399675	7.7720785475	7.4241015535	7.700462997	8.9647921965	7.7735222255	8.952651779	9.2155952835	10.895740795	10.544251715	"NADH dehydrogenase subunit"
"PSAI"	7.1462722325	7.336878132	4.38212022733333	5.0153627105	6.0966230545	6.550647464	6.214436575	6.661916648	5.1946722015	6.46005143	6.06514410366667	6.9621431815	5.2506052395	6.254507868	5.586219674	6.7559645955	6.825995434	4.8027336195	6.2512971745	4.2097224895	4.885356039	11.0701431266667	11.1941430033333	5.7920240705	6.4105797955	7.2856977065	7.3411960935	6.988721444	6.4770406075	6.6325538375	7.398816891	6.773461988	8.2352960055	8.921191256	10.6346534	10.02436625	"PSI I protein"
"ATPF"	5.19474623825	5.22321431966667	4.208509421	4.5214802085	4.82279564	4.895627385	4.7804030205	4.830525404	4.589853912	4.889565622	4.60535394966667	4.96109551	4.574456585	4.976157656	4.3627555635	5.541003804	4.783396659	4.5413809585	4.9594158375	4.2404552675	4.8169687585	9.84724863866667	9.964693482	4.898438962	5.314072377	6.68384435	6.0063126925	6.061757476	5.199596427	5.3342935125	6.900843454	5.9033189785	7.165320351	8.2897991895	9.6539522605	8.0738151355	"ATPase I subunit"
"ATPH"	7.243760471	7.69725138733333	5.04377852233333	5.480218439	6.8473569875	7.1646251285	6.5601447595	6.695398162	6.475690619	6.903633602	6.25198206333333	7.1200657145	5.833870102	6.9513238025	6.215716042	7.3970726325	7.1948164775	5.525783739	6.818559021	4.9530136285	6.120956617	12.3186187966667	12.4262981466667	7.269657697	8.0886793115	8.9693327995	8.9837433935	8.2875766695	7.5458338115	8.680941381	9.5337814085	7.709859686	9.6109468805	10.835593805	12.025589005	10.8459263	"ATPase III subunit"
"YAB5"	4.582126591	4.42460315666667	4.51330695866667	4.4908467445	4.587982194	4.3710058285	4.521311257	4.4270654045	4.2564791635	4.1944244855	4.43718714066667	4.598868908	4.430862714	4.6449196135	4.292207766	4.4532965805	4.32479409	4.421671623	4.341752417	4.312448638	4.6489522725	6.97727734133333	7.082984025	7.0709692325	7.389763178	7.1753854715	6.927842798	7.3136036335	7.6883252175	7.806307484	7.0087000375	7.2492739875	8.013316076	8.072342112	7.1802062605	7.452268449	"hypothetical protein predicted by genscan"
"PSBA"	5.95430768025	6.27760693433333	5.36094981466667	5.472233889	5.4858121215	5.9251986205	5.700051511	5.763554908	4.995589832	6.089471992	5.455284508	6.1392063075	5.6366080185	6.004347124	5.6472482335	5.9612223915	5.644263885	5.279804666	5.6597475405	5.0881314755	5.5046262785	11.9959247266667	12.5127028433333	9.348690567	9.632253614	10.023728957	9.8924571815	9.52244234	9.496586953	9.49610497	10.1758748415	9.2686583985	10.2253511395	10.33383736	11.49214089	11.71222796	"PSII 32 KDa protein"
"PSBK"	7.291217186	7.002931359	5.379882452	5.628197238	6.433970302	7.1026862445	6.2694381665	6.5369357555	6.3216877715	7.243272078	6.23173464033333	7.0479866465	6.4911856155	7.1363454315	6.6917533875	7.293814162	7.2256921815	5.434802408	5.976789954	5.052236262	5.2748947275	12.4081777733333	12.5229958833333	9.101782957	9.7516744825	10.27289746	10.191556895	9.7813366275	9.783908229	9.9891874065	9.995583318	10.175090741	10.167398824	10.5876789485	12.592190475	12.487045145	"PSII K protein"
"RCA"	6.56930476925	6.41681090766667	7.443821595	7.273531487	6.488661092	5.599565124	6.8707188735	6.795605088	6.9385877865	6.327559927	7.5448778	7.408558793	7.099932745	6.8836294505	7.9620579455	6.0378682345	6.1613239145	8.3517496	7.6914435255	7.3476674145	6.8643058445	13.7375152833333	13.8225867466667	13.13882535	13.38818409	12.92487908	13.241631255	13.315286485	13.328420405	12.18489483	12.608914365	13.73371295	12.102400655	12.49757621	13.50152844	13.801067735	"hypothetical protein ;supported by full-length cDNA: Ceres:7114."
"ATCYSA.CYSA.FL3.27"	5.117470267	5.35220340433333	5.922301995	5.574840597	4.8379050015	4.7279109015	5.3967823675	5.6427496705	5.740669371	6.1325214025	5.55917763566667	5.5063995535	4.869757605	4.7826114795	5.3141474665	5.3770814855	4.8659358165	6.595936711	6.810575923	5.3113529105	5.4116562435	7.747635184	7.89895117833333	9.127706151	8.8410314435	8.9749022205	8.9984338675	8.9085357855	8.385123838	9.883586222	9.5077254385	9.2303236785	8.840920653	8.8765839375	8.776320237	8.672276641	"putative cysteine proteinase inhibitor B (cystatin B)  ;supported by full-length cDNA: Ceres:11739."
"MIZ1"	10.051603244	9.88753334366667	9.19481304666667	9.64412481	10.422347685	10.605687065	9.654094576	9.932114356	10.002664787	10.582616965	9.38675261766667	9.645578647	9.420058378	9.7669290475	9.6347537735	9.4686792035	10.36295871	11.32195628	11.189971075	9.4345916195	9.9802875135	6.34403319133333	5.59984948966667	5.956552038	5.618280766	6.2029319625	5.6804349935	5.8805397085	5.260570626	6.55741907	5.859046599	5.911649234	6.1836527165	6.0172503685	5.8523306025	5.6962260715	"hypothetical protein predicted by genefinder;supported by full-length cDNA: Ceres:35456."
"AFO.FIL.YAB1"	5.0496169055	5.014446136	4.972985895	5.1988465875	5.0255097405	5.277470985	4.843466836	5.129908493	4.90517713	5.008337202	4.853140407	5.227643946	4.8634940715	5.066769487	4.613103513	4.8408359415	4.8851509545	5.019593343	5.0857946075	4.8900174435	5.371482087	8.34638527866667	7.90589452033333	8.505308942	8.275329777	7.90313112	7.969122424	8.6059272955	8.5890184415	6.562049415	6.083386222	8.041191962	9.0554030355	8.5530587865	8.34944107	8.1732276955	"unknown protein predicted by genscan; supported by cDNA: gi_3822215_gb_AF074948.1_AF074948"
"AtERF71.ERF71.HRE2"	5.486920092	11.3701607033333	5.57812263433333	12.028827555	5.5426741335	11.93390472	5.4375156695	12.576564745	5.368817061	12.231241425	5.471533912	11.75435094	5.463747207	10.95202444	5.3380772605	5.485685593	10.92903895	5.320452172	11.39205852	5.434233432	12.759377415	6.54348321633333	10.2745710576667	7.6583229405	10.86687655	7.2823872185	10.895408895	7.6316430595	10.603126585	6.2537068935	10.1810346235	5.609165981	6.8556836045	10.34849552	5.932294616	10.431740365	"putative AP2 domain transcription factor"
"WSD7"	9.40668679775	9.66058849966667	8.811879387	8.9869306165	11.39667851	11.396347155	8.767119959	9.397949203	9.447031592	9.6790647355	9.00894522566667	8.902505108	9.1677451035	9.38055576	8.9889995345	9.652290727	10.264231742	7.097358368	8.042643119	8.931768619	8.693856439	5.436386302	5.34205700666667	4.959539612	5.192160536	5.1295566475	5.0564233325	4.720467096	4.814903781	4.428254034	4.4188347115	4.572318115	5.2533594065	5.309125966	5.5988388365	5.576463738	"putative protein similarity to various predicted proteins~Contains ATP synthase delta (OSCP) subunit signature AA211-230;Prokaryotic membrane lipoprotein lipid attachment site AA140-150"
"PSBY.YCF32"	5.92976777425	5.91646352933333	6.25420248233333	6.378715312	5.7686588055	6.0826165225	6.342837286	6.3317904335	6.176110004	6.6438253105	6.583433027	6.416414343	5.7997791805	6.084409662	6.3075531335	5.935816418	6.209291043	6.7974529735	6.973892779	6.005737694	6.1333691535	12.50667887	12.1885101866667	12.264447825	12.4258685	11.514168395	12.02043789	12.660812625	12.725186465	12.1823174	11.666073065	11.740331615	10.311656325	10.38470647	12.12846266	12.412032645	"F12A21.13 putative photosystem II Core Complex sp|049347|PSBY_ARATH;  similar to ESTs gb|BE523181, dbj|AV531372.1, dbj|AV527826.1, dbj AV520274.1, dbj|AV522153.1, dbj|AV530317.1, dbj|AV526312.1, dbj|AV527090.1, dbj|AV521148.1, and dbj|AV531908.1;supported by full-l"
"CP22.NPQ4.PSBS"	6.6136745505	6.642776038	7.28611489633333	7.3634100475	6.881534811	6.60127373	6.781294435	6.9321758895	6.6423188955	6.496517612	7.12477469966667	7.1280622355	6.7548920315	7.076326733	6.9166651225	6.745708276	6.422219551	7.6068102075	7.7113467635	6.6296399775	6.790189608	13.1669545266667	13.3086884533333	12.659719515	13.113164945	11.96824318	12.49542793	12.860095145	13.10501749	12.39830737	12.337760655	12.440053225	10.6858174	11.7055522	12.57884198	13.06116806	"photosystem II 22kDa protein, putative similar to photosystem II 22kDa protein GI:21306 from [Spinacia oleracea]; supported by cDNA: gi_15294225_gb_AF410304.1_AF410304"
"ATCAO.CAO.CH1"	5.33536704825	5.54243831033333	5.24901043233333	5.409071189	5.521104326	5.3599321455	5.3667301875	5.5161973335	5.2454913745	5.3158497415	5.10621965	5.302460714	5.1080689635	5.35242145	5.392100393	5.254063804	5.0678547185	6.246975797	6.0767163895	5.382066157	5.247455827	9.40994733733333	9.35561755133333	8.821872306	8.754820415	8.6148622	8.5907110655	9.589715515	8.9753545975	9.5251291975	9.4955325325	9.196161728	8.202428197	8.260841195	9.0732515615	8.7646273385	"chlorophyll a oxygenase identical to chlorophyll a oxygenase GI:5853117 from [Arabidopsis thaliana]; supported by cDNA: gi_5478806_dbj_AB021316.1_AB021316"
"X04C11.ATPEN1.PEN1"	9.55784749	8.659653345	9.14482402333333	8.2300288955	10.640906965	9.281522545	8.863139679	8.427243702	9.7341048055	8.3874241945	8.93755513366667	8.145681308	8.901570795	8.197748243	8.9891651685	9.5685326	8.611849482	9.049428555	7.923411558	9.9181987515	8.864233196	5.176434536	4.71139281833333	4.968881087	4.5636248775	4.8282850335	4.6532717455	4.6565512855	4.7904309435	4.852156922	4.9390478915	5.002392443	4.675995554	4.575774559	5.373615979	4.9618685875	"lupeol synthase like protein ; supported by cDNA: gi_6650207_gb_AF062513.1_AF062513"
"CASPL1E1"	5.45270143825	5.33079580266667	5.05893977466667	5.099910848	5.2730854135	5.121740806	4.994285017	5.0492021355	5.103002869	5.345532499	5.356332388	5.7073402265	4.8950821615	4.9432277135	5.107281122	6.1417075735	5.253579507	5.127706864	4.9045079215	4.892860604	5.1639909195	9.52911654533333	9.632693752	9.8436864115	10.229416685	10.132467002	10.67325801	9.0709869965	9.4939455435	8.828216755	9.14023442	10.44843586	11.86086324	11.658200215	8.908772755	9.41476737	"hypothetical protein ; supported by full-length cDNA: Ceres: 933."
"CLEL.GLV1.RGF6"	5.38719742525	5.791689095	5.679109057	5.797273769	5.5345740735	5.4117685015	5.535776596	5.4709671005	5.3803560355	5.394286836	5.63486517333333	5.5005482075	5.658930738	5.3687087905	5.589154028	5.3900488305	5.283070672	5.65550272	6.074127731	5.269202968	5.775252134	8.992950021	8.46973984866667	10.023253813	9.7512204775	10.0120104965	9.8501995105	8.7601178505	8.5929664425	8.0223636105	6.9638555995	9.3553858405	11.20625991	10.47836911	7.74259603	7.6473351055	"Expressed protein ; supported by full-length cDNA: Ceres: 6580."
"AtBAM3.BAM3.BMY8.CT.BMY"	4.28166325375	4.289022842	4.468947615	4.25701172	4.6067925675	4.3847600235	4.148592766	4.522978255	4.169597445	4.107210802	4.30976552166667	4.110821292	4.149380695	4.147966364	4.0517467335	4.234463095	4.2637032595	4.278348605	4.4106121045	4.347256395	4.526989579	10.7811592133333	11.02179086	9.7229813025	10.60324904	9.301722468	10.290518645	10.619748705	11.089206985	7.291934317	9.0134771505	10.018080574	6.5484454575	8.041617624	9.9313959505	11.56571937	"putative beta-amylase ;supported by full-length cDNA: Ceres:36882."
"LIL3.1"	5.9001091295	5.95886874266667	7.04654889033333	7.0344157845	5.6953342345	5.8784514325	6.7801051545	6.3180168985	6.860925907	6.3945728365	7.05809365166667	6.8187259945	6.1425835145	6.135654905	7.603029304	6.6650845435	6.4505975595	6.8399342945	7.0225683765	7.1483931825	7.1003926815	11.7876531733333	11.6142979833333	11.878582765	11.995360175	11.538660265	11.83249352	12.066085855	11.97179211	10.92704399	11.321458055	11.930762635	10.77779045	10.88365943	12.127730885	12.03351136	"Lil3 protein ;supported by full-length cDNA: Ceres:29150."
"GRXS4.ROXY13"	5.1579821775	5.37866735333333	5.40136878933333	6.299107476	5.125227862	5.002531902	5.3702070895	5.334542874	5.221466624	5.4024176485	5.64394321533333	6.5879447585	6.98982906	8.2968387925	5.562476947	5.1634684545	5.0890305895	5.382540512	5.7105154015	5.256856708	5.7223177455	5.961648289	6.09596101966667	7.037415935	7.8295923965	7.840068421	8.7436374315	7.1472142335	7.372155921	11.826932435	12.03610397	7.4860376235	5.205210656	5.464369612	6.744754803	7.102565487	"glutaredoxin ;supported by full-length cDNA: Ceres:32219."
"RPP4"	3.75519820625	3.74888946266667	3.83316220566667	3.786819726	3.6659217755	3.8752558655	3.9042196895	3.7840780125	3.8966639675	3.7468471885	3.85064321533333	3.889662847	3.832802467	4.0638812025	3.9079138325	3.772289526	3.8753474305	4.054703205	4.006277116	3.771669064	3.8346783455	6.93196779966667	7.19780815333333	5.9689092965	5.9389417995	5.63833304	5.909712762	7.0630131575	6.3867444695	4.374634027	5.628952567	5.613105229	4.916201173	5.7661170225	6.933260623	7.8970510545	"disease resistance RPP5 like protein"
"CASPL1E2"	4.5601587765	4.56287332633333	4.55279734266667	4.6503179965	4.4280169635	4.4355669015	4.507961071	4.506742283	4.4655947585	4.3424092095	4.428282459	4.4698937445	4.570193546	4.5671047475	4.3434609705	4.4546243855	4.3346267105	4.356552273	4.676825992	4.4198037875	4.642242065	8.38062184266667	8.36198783333333	8.2769260355	8.3036550935	8.701157084	8.927023059	7.5063882475	7.8968804325	7.860352493	8.1408631095	8.416413882	10.051013859	10.070649793	7.3670570755	7.916422483	"hypothetical protein"
"GRXS8.ROXY15"	3.9917706105	4.019652337	4.08448956466667	4.1006781445	3.844181773	3.9061793445	4.0228598725	3.8815305815	3.897999476	4.0581984685	4.05861468466667	3.9543830965	4.595176481	4.3823085245	4.047193165	3.9591571735	3.98122123	4.036380862	3.9581116055	3.956434202	4.186370156	4.763290601	4.56194439333333	5.4772212605	5.116706023	5.3987898085	5.3073529795	5.1247057865	5.409844183	10.5925156175	10.493836045	4.9184042365	4.0976002765	4.103133181	4.784952786	4.6032993635	"glutaredoxin"
"GRXS5.ROXY12"	4.55255213825	4.73328312	5.116553726	5.614088204	4.198166589	4.0822093635	4.517328709	5.004834002	4.7907630775	4.8872787035	5.68790164133333	5.7962144005	7.664635751	8.318110671	6.0353312555	4.3341677155	4.239132273	4.8361169795	5.7113899275	5.0032863425	5.564164681	6.56695478433333	6.337677111	8.0326842115	8.3769051515	8.680091731	9.16126134	7.9881809145	8.2795580005	11.68548958	11.87883267	8.4565382675	4.6567913865	4.682231955	7.1312194075	7.1433224765	"glutaredoxin"
"GRXS3.ROXY11"	3.84610045725	3.86696883566667	3.89371148366667	3.8897338985	3.864754267	3.801847463	3.7650889395	3.840144491	3.840682463	3.9399469485	3.85722164066667	4.105701903	3.893254266	4.4522627265	3.8809083765	3.770659678	3.827305371	3.815828119	3.962237906	3.896409982	4.1084532275	4.82938664533333	5.02779278333333	5.6122764475	5.8113659325	6.315589212	6.779498472	6.009881629	6.1985549545	10.93241595	10.609721125	6.138912739	4.0061709465	4.0003126185	4.835194678	5.1727947455	"glutaredoxin homolog"
"NF.YB3"	4.43805825225	4.66086082266667	4.90839250333333	4.9513049695	4.449432504	4.57928517	5.0078932715	4.688613545	4.836410539	4.837566962	5.10189733466667	4.8388885455	4.9574729065	4.674507201	5.3807895085	4.5523627815	4.611533627	4.732059714	4.937960675	5.0742687975	5.0077421115	8.14539381833333	7.910646383	8.465768239	8.6606089355	8.3066732595	8.437789219	8.419060855	8.871625609	9.3781393475	8.468498694	9.0771459385	9.0337678645	8.608158631	8.8866856945	8.7352777725	"CCAAT-binding transcription factor subunit A(CBF-A)"
"BLUS1"	4.5807872445	4.49380843533333	4.60403507166667	4.774559883	4.6319650465	4.5366416675	4.490526544	4.539314007	4.4546042655	4.6260453015	4.589023957	4.659859234	4.3526500175	4.628673048	4.425142212	4.6299516885	4.567006575	4.6801003295	4.3923043325	4.567517668	4.654727107	6.44478728966667	6.54676267666667	5.101741528	5.16794441	5.1664927925	5.088696428	5.1747321835	4.935136367	5.163313127	5.0971233085	5.0009614385	7.199241865	7.7581348495	9.859388146	9.4452932575	"kinase like protein"
"FD.GOGAT.GLS1.GLU1.GLUS"	5.7289059065	5.73789936766667	5.54524893833333	5.6884306455	5.636923916	5.3239104625	5.5355568375	5.538771904	5.5273798315	5.6733783545	6.61373317733333	6.086371326	7.742831226	7.0283003055	7.322992295	5.560855553	5.4862035355	6.138456654	5.769153901	5.738921197	5.6490979365	12.5350516233333	12.47998749	11.437617585	11.58625223	11.23636529	11.448514845	11.926110775	11.707950095	11.202615525	11.868163865	11.886867005	10.1929510915	10.129082155	12.282601035	12.065573845	"ferredoxin-dependent glutamate synthase ; supported by cDNA: gi_3869250_gb_U39287.1_ATU39287"
"ADTO1"	7.05273450525	6.85540343233333	7.13707578566667	7.1007101815	9.379340551	7.3677275225	9.5282173365	7.7402690335	9.5392695775	7.4190856665	9.761802117	8.525392379	9.979708797	7.391760295	10.0772740155	11.073865615	8.0523700025	8.321271474	6.7191156615	7.120499594	6.254600416	4.75599295833333	5.016195257	5.043531002	5.1883763865	5.228344768	5.0497297625	5.0895860265	5.541466656	5.295005775	5.171160487	5.180282475	4.639418183	4.6704438855	6.2948526545	5.2853734555	"steroid 22-alpha-hydroxylase, putative similar to steroid 22-alpha-hydroxylase GI:2935342 from [Arabidopsis thaliana]"
"EXL1.PHI.1"	4.77037630725	9.239448336	4.938700006	9.188778205	5.45242563	10.817933805	4.832995722	8.8490466175	4.3349594315	9.233799897	4.47017927566667	9.3555357435	4.207885421	8.519201545	4.3778624725	4.7161327775	9.0435719705	4.6189947075	9.419318054	4.772559853	9.91440106	5.52519416833333	7.88789723433333	5.517874837	8.202072218	5.368153524	8.077997813	5.535482338	7.9249670635	4.7070994955	6.200900818	5.130531079	5.067228523	7.357069257	5.2048917725	7.3324458925	"phosphate-induced (phi-1) protein, putative similar to phi-1 GB:BAA33810 GI:3759184 from [Nicotiana tabacum];supported by full-length cDNA: Ceres:118937."
"ATWRKY75.WRKY75"	7.59296390925	9.794148189	7.508851356	8.940057294	6.861623641	9.4383864625	6.7162067985	9.5490984215	7.598263316	10.50404064	7.78504834333333	9.5517609445	6.82598163	9.796887502	7.2952922535	7.7304108075	10.710300895	9.0340993985	11.662154425	6.6365138095	9.7790750135	5.066760627	6.67302935633333	6.102772452	7.4092459935	5.5025262305	5.362774916	5.326724298	5.486337342	5.122490049	5.4226441905	4.9441501935	5.4546434685	5.889367162	5.2900946275	7.1039371875	"WRKY-like protein WRKY DNA binding protein - Solanum tuberosum, EMBL:AJ278507"
"ASUS1.atsus1.SUS1"	7.65351059275	11.54396806	8.14320840833333	12.084404475	7.1992354415	11.60034936	7.4148302595	12.28808833	8.0446929335	12.32912257	9.16998906133333	12.2015213	10.8848203	12.20278627	9.7138485385	6.49760579	11.498201985	6.790712032	12.282801905	8.3898731865	13.051517655	6.12931109533333	9.33485403466667	5.6995504605	8.8419474265	6.966702691	9.178992351	6.014007007	8.6907269475	10.20559741	10.94618716	6.7505627525	4.8695271865	8.396637391	5.809394999	8.715233644	"sucrose-UDP glucosyltransferase"
"ATGER3.GER3.GLP3.GLP3A.GLP3B"	5.16643771825	5.10175188133333	5.72338799466667	5.339631743	5.3863944155	4.9460452085	5.162820156	5.1460024185	4.81146134	4.88817388	5.03720962466667	5.4801911495	5.069121436	5.3196944625	5.3523348615	4.8712176175	4.8521647565	5.2674651855	5.446916494	4.922489502	5.068640067	12.58947224	12.9025634766667	12.78348714	12.920057255	11.622998585	12.261224445	12.7814096	12.95660184	9.3608036495	9.42772475	11.641660645	8.6737915345	8.7768061725	12.074156535	12.576133205	"germin-like protein  ; supported by cDNA: gi_14517363_gb_AY039516.1_"
