"col.name"	"sample"	"condition"
"shoot_control_pSUC2_rep2"	"GSM362234"	"shoot_pSUC2"	"control"
"shoot_hypoxia_pSUC2_rep1"	"GSM362235"	"shoot_pSUC2"	"hypoxia"
"shoot_hypoxia_pSUC2_rep2"	"GSM362236"	"shoot_pSUC2"	"hypoxia"
"shoot_control_pSultr2.2_rep1"	"GSM362237"	"shoot_pSultr2.2"	"control"
"shoot_control_pSultr2.2_rep2"	"GSM362238"	"shoot_pSultr2.2"	"control"
"shoot_control_pCER5_rep1"	"GSM362239"	"shoot_pCER5"	"control"
"shoot_control_pCER5_rep2"	"GSM362240"	"shoot_pCER5"	"control"
"shoot_hypoxia_pCER5_rep1"	"GSM362241"	"shoot_pCER5"	"hypoxia"
"shoot_hypoxia_pCER5_rep2"	"GSM362242"	"shoot_pCER5"	"hypoxia"
"shoot_control_pKAT1_rep1"	"GSM362243"	"shoot_pKAT1"	"control"
"shoot_control_pKAT1_rep2"	"GSM362244"	"shoot_pKAT1"	"control"
"shoot_hypoxia_pKAT1_rep1"	"GSM362245"	"shoot_pKAT1"	"hypoxia"
"shoot_hypoxia_pKAT1_rep2"	"GSM362246"	"shoot_pKAT1"	"hypoxia"
