"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Car11"	1567	17	37	23	36	2500	23	45	17	23	3012	98	97	84	166	"carbonic anhydrase 11"
"Dlgap1"	9912	77	15	124	11	9978	103	30	119	4	13633	52	35	284	8	"DLG associated protein 1"
"Cacnb3"	2240	223	209	11	432	3815	296	283	25	249	3618	448	302	15	548	"calcium channel, voltage-dependent, beta 3 subunit"
"Grik5"	2831	157	262	250	328	3872	185	233	636	170	5594	298	398	699	562	"glutamate receptor, ionotropic, kainate 5 (gamma 2)"
"Elavl3"	5473	25	19	0	2	4706	28	23	0	0	5082	40	43	3	1	"ELAV like RNA binding protein 3"
"Rab3b"	704	37	58	12	1	938	39	92	10	10	1563	54	126	12	15	"RAB3B, member RAS oncogene family"
"Phyhip"	6652	3	31	2	6	8632	5	53	5	9	9804	6	45	9	12	"phytanoyl-CoA hydroxylase interacting protein"
"Cp"	422	268	1081	59913	8136	285	316	881	35355	3940	189	406	1363	40472	4402	"ceruloplasmin"
"Calb2"	1598	61	0	0	0	484	140	0	0	1	406	219	0	0	1	"calbindin 2"
"Ppfia3"	2956	153	6	0	15	3570	287	12	1	15	4210	263	28	3	19	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"
"Efnb3"	2357	35	14	2	10	2230	43	15	4	17	1829	69	6	3	9	"ephrin B3"
"Gstm3"	1	19263	1	2832	8	0	26200	1	2529	9	0	13448	4	3077	9	"glutathione S-transferase, mu 3"
"Cavin1"	361	898	828	322	10002	240	1546	1141	356	10337	254	1727	1102	273	13977	"caveolae associated 1"
"Cacna1e"	8015	196	32	4	115	9774	194	9	3	92	8993	165	10	6	140	"calcium channel, voltage-dependent, R type, alpha 1E subunit"
"Cacna1b"	3118	40	4	0	29	3738	15	2	1	20	3840	46	0	6	15	"calcium channel, voltage-dependent, N type, alpha 1B subunit"
"Kifc2"	7093	346	243	221	180	9214	413	326	397	191	10026	327	327	360	357	"kinesin family member C2"
"Eno2"	18369	69	41	8	90	15206	77	40	7	31	17777	190	59	20	111	"enolase 2, gamma neuronal"
"9330159F19Rik"	2009	14	2	0	118	1985	12	3	0	93	2359	13	12	0	204	"RIKEN cDNA 9330159F19 gene"
"Hdac9"	1350	100	16	27	84	1205	94	27	42	189	1291	167	16	32	54	"histone deacetylase 9"
"Mapk13"	35	5331	373	6	357	13	9178	289	7	199	20	6514	392	3	198	"mitogen-activated protein kinase 13"
"Bcan"	4334	1	1	0	13	4634	6	1	0	80	4896	6	0	12	222	"brevican"
"Slc25a18"	1446	14	26	13	45	898	14	23	16	19	979	19	41	23	36	"solute carrier family 25 (mitochondrial carrier), member 18"
"Matk"	1960	117	20	6	45	3821	288	19	21	48	4635	298	22	17	75	"megakaryocyte-associated tyrosine kinase"
"Syt5"	1920	27	3	0	150	2277	96	5	3	116	3036	33	4	3	144	"synaptotagmin V"
"Chd5"	6269	34	19	0	72	7146	62	22	2	27	9514	96	97	12	104	"chromodomain helicase DNA binding protein 5"
"Slc1a2"	68623	66	116	4700	184	60387	28	148	7232	45	70717	152	156	8321	158	"solute carrier family 1 (glial high affinity glutamate transporter), member 2"
"Ndrg1"	2359	1921	31705	559	692	1893	2025	35909	438	699	1504	2532	20513	725	907	"N-myc downstream regulated gene 1"
"Klf5"	223	7438	57	8	865	157	6997	103	5	598	267	5957	114	23	936	"Kruppel-like factor 5"
"Cadm3"	8850	104	5	206	34	10218	79	14	232	9	8287	131	12	162	31	"cell adhesion molecule 3"
"Slc1a3"	9566	189	38	6	724	9305	290	122	18	565	9981	160	59	3	644	"solute carrier family 1 (glial high affinity glutamate transporter), member 3"
"Cyp2a5"	0	7	389	8370	1666	0	9	1156	21440	572	0	25	741	2465	1504	"cytochrome P450, family 2, subfamily a, polypeptide 5"
"Mef2c"	11292	433	335	153	890	12696	444	327	104	908	14135	729	199	102	716	"myocyte enhancer factor 2C"
"Insrr"	14	57	475	0	2	9	109	995	0	5	12	144	661	0	8	"insulin receptor-related receptor"
"Nr1i3"	9	875	2	2748	3	7	803	5	3428	8	3	815	0	2518	3	"nuclear receptor subfamily 1, group I, member 3"
"Apoa2"	1	5	29	312254	1	13	59	96	195472	8	2	17	12	164493	2	"apolipoprotein A-II"
"Itgae"	11	813	23	7	224	11	848	41	12	121	6	567	34	12	106	"integrin alpha E, epithelial-associated"
"Ankrd13d"	1050	33	62	15	140	1588	35	49	22	108	1348	42	67	20	164	"ankyrin repeat domain 13 family, member D"
"Prg4"	44	14	15	1333	32	39	12	10	1147	20	53	23	4	879	20	"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)"
"Atp6v1b1"	6	0	1379	1	181	2	0	2019	1	171	2	0	2055	0	107	"ATPase, H+ transporting, lysosomal V1 subunit B1"
"Crip1"	84	21812	285	126	5210	64	60609	297	168	3350	76	21424	603	125	3652	"cysteine-rich protein 1 (intestinal)"
"Tek"	343	220	1622	794	10065	191	200	1378	438	7184	154	227	1124	476	7989	"TEK receptor tyrosine kinase"
"Cdc20"	6	577	37	4	72	17	589	36	43	78	8	623	57	23	92	"cell division cycle 20"
"Neurl1a"	2026	36	26	6	152	2745	37	16	13	97	3045	67	30	9	127	"neuralized E3 ubiquitin protein ligase 1A"
"Itih3"	2025	72	17	37297	62	630	51	26	41349	27	549	63	30	36313	53	"inter-alpha trypsin inhibitor, heavy chain 3"
"Itih1"	0	0	97	34254	27	0	2	155	39340	60	2	0	156	35013	44	"inter-alpha trypsin inhibitor, heavy chain 1"
"Slc4a1"	16	1	1168	24	271	3	0	1572	16	227	0	0	773	23	162	"solute carrier family 4 (anion exchanger), member 1"
"Rundc3a"	5091	136	318	361	46	5112	225	240	470	45	5495	188	544	397	40	"RUN domain containing 3A"
"Slc4a3"	2679	64	228	11	276	3441	99	334	32	241	3860	108	331	38	554	"solute carrier family 4 (anion exchanger), member 3"
"Nphs1"	21	3	736	1	5	34	92	612	1	0	44	48	564	0	0	"nephrosis 1, nephrin"
"Aplp1"	19637	248	169	30	129	23033	2879	158	35	94	22181	536	156	70	207	"amyloid beta (A4) precursor-like protein 1"
"P4htm"	1136	37	38	11	174	1241	35	34	8	170	1374	83	57	3	235	"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)"
"Hap1"	4075	137	82	89	334	5439	210	99	86	255	4055	331	134	116	490	"huntingtin-associated protein 1"
"Atp1a2"	33021	184	99	18	2047	20908	455	781	47	2113	19642	410	383	35	3742	"ATPase, Na+/K+ transporting, alpha 2 polypeptide"
"Stx1a"	2378	74	36	17	124	5177	94	46	39	108	4974	138	51	26	229	"syntaxin 1A (brain)"
"Scube2"	58	97	50	0	834	67	49	24	0	644	29	48	10	0	2023	"signal peptide, CUB domain, EGF-like 2"
"Hapln4"	3318	26	5	148	0	1553	80	1	373	0	2553	10	4	299	3	"hyaluronan and proteoglycan link protein 4"
"Cav1"	403	813	533	206	27944	206	703	940	131	22937	194	967	840	96	24508	"caveolin 1, caveolae protein"
"Dio2"	1257	14	6	0	79	1517	25	100	0	15	1554	8	22	0	38	"deiodinase, iodothyronine, type II"
"Cpt1c"	1664	58	52	5	129	2156	68	67	23	120	2393	100	47	17	188	"carnitine palmitoyltransferase 1c"
"Fzd3"	2898	18	60	11	291	2719	32	88	10	243	2900	40	49	9	168	"frizzled class receptor 3"
"Clstn3"	10002	18	7	219	65	8158	34	83	550	15	9427	44	30	128	58	"calsyntenin 3"
"Mgst1"	135	7171	420	171807	7643	97	2834	1001	115996	7570	64	4817	532	93088	3943	"microsomal glutathione S-transferase 1"
"Rbfox1"	5627	8	40	4	13	4687	11	65	0	9	5226	17	39	3	22	"RNA binding protein, fox-1 homolog (C. elegans) 1"
"Syn2"	11181	63	126	0	235	10715	113	203	0	162	12357	127	126	6	168	"synapsin II"
"Oit3"	3	42	3	1042	31	3	18	6	996	24	3	8	12	969	26	"oncoprotein induced transcript 3"
"Slc38a3"	1516	25	1790	70416	5	1605	527	1191	123486	0	1268	498	1895	116126	9	"solute carrier family 38, member 3"
"Cacna2d2"	1727	63	233	2	10	962	39	6	1	0	807	33	10	0	6	"calcium channel, voltage-dependent, alpha 2/delta subunit 2"
"Slc47a1"	102	1078	22749	4421	23	78	1416	21328	6363	43	98	925	22806	6111	81	"solute carrier family 47, member 1"
"Myt1"	399	41	0	0	8	454	34	0	0	4	367	19	0	3	1	"myelin transcription factor 1"
"Psen2"	343	386	463	5220	687	362	596	484	8056	597	434	602	513	2094	725	"presenilin 2"
"Acaa1b"	7	300	939	8728	112	9	405	2024	22610	78	14	758	1990	10041	81	"acetyl-Coenzyme A acyltransferase 1B"
"Mcoln2"	0	534	33	12	31	0	652	54	9	60	3	358	14	12	20	"mucolipin 2"
"Slc5a1"	2	47508	1233	40	133	5	73816	1901	32	89	6	37639	2623	58	110	"solute carrier family 5 (sodium/glucose cotransporter), member 1"
"Odc1"	232	878	9634	484	143	564	1928	22662	1546	909	115	519	7518	296	174	"ornithine decarboxylase, structural 1"
"Plin5"	16	2	134	933	54	23	3	121	1021	37	20	19	142	1285	40	"perilipin 5"
"Dhdh"	284	82	414	6424	370	268	105	659	7953	311	263	108	465	7405	478	"dihydrodiol dehydrogenase (dimeric)"
"Scarf2"	56	115	288	80	1408	48	125	167	131	594	84	267	288	78	2971	"scavenger receptor class F, member 2"
"Crybg2"	20	1686	26	8	208	31	2108	55	55	153	58	1896	32	165	188	"crystallin beta-gamma domain containing 2"
"Steap4"	3	21	55	5115	545	10	37	150	3752	158	6	56	77	5749	272	"STEAP family member 4"
"Kif11"	35	1100	46	53	82	63	684	43	51	101	37	663	61	29	64	"kinesin family member 11"
"Bcas1"	6025	292	3	1	103	3550	547	2	2	116	2236	269	0	3	112	"brain enriched myelin associated protein 1"
"Clip3"	10893	94	63	8	88	8750	150	104	20	47	9174	194	75	12	671	"CAP-GLY domain containing linker protein 3"
"Mcemp1"	4	18	5	2	389	13	37	7	2	441	8	40	0	12	272	"mast cell expressed membrane protein 1"
"Trpv4"	17	14	3859	17	188	93	35	3286	32	143	35	21	4987	35	344	"transient receptor potential cation channel, subfamily V, member 4"
"Camta1"	9125	152	285	172	306	5445	171	299	143	305	7202	208	225	133	321	"calmodulin binding transcription activator 1"
"Kif1a"	32012	75	22	4	160	28168	86	14	11	84	29660	119	41	41	206	"kinesin family member 1A"
"Tppp3"	697	170	34	13	5774	691	344	48	14	6906	474	325	39	20	5307	"tubulin polymerization-promoting protein family member 3"
"Gata2"	100	26	301	28	1421	23	28	455	23	1597	43	88	390	26	2973	"GATA binding protein 2"
"C8g"	31	81	224	21194	45	68	162	369	13941	31	78	73	493	10755	66	"complement component 8, gamma polypeptide"
"Ptgds"	10702	1	157	125	3	7716	9	191	141	5	5490	4	51	38	4	"prostaglandin D2 synthase (brain)"
"Clic3"	20	44	209	38	3345	45	39	187	57	1848	34	21	160	81	4420	"chloride intracellular channel 3"
"Map2"	35056	58	107	29	1227	29273	102	181	26	204	28584	108	87	64	638	"microtubule-associated protein 2"
"Pcolce2"	128	8	32	47	6140	146	28	41	67	4042	104	27	22	46	5498	"procollagen C-endopeptidase enhancer 2"
"Ace2"	46	28607	2220	75	685	34	41862	1402	14	648	24	18009	1990	23	276	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 2"
"Gzmb"	1	1200	10	7	101	0	1745	6	9	201	0	988	2	3	47	"granzyme B"
"Ager"	8	55	21	5	33753	19	72	23	14	24314	15	106	22	12	40973	"advanced glycosylation end product-specific receptor"
"Notch4"	98	119	609	114	2355	82	177	500	139	1630	171	317	789	215	5518	"notch 4"
"Lpl"	883	429	31637	3265	4397	627	698	37167	1061	3354	1372	686	18275	2236	3460	"lipoprotein lipase"
"Gata5"	0	1645	21	8	245	0	2059	28	4	184	0	1246	28	9	459	"GATA binding protein 5"
"Arnt2"	6639	145	1489	0	37	5937	76	1076	0	22	6106	94	1528	3	30	"aryl hydrocarbon receptor nuclear translocator 2"
"Ncapg"	13	433	19	7	38	18	288	12	3	34	26	350	34	9	26	"non-SMC condensin I complex, subunit G"
"1700016C15Rik"	7	41	251	1	10	1	76	333	0	1	3	19	292	0	1	"RIKEN cDNA 1700016C15 gene"
"Stk32c"	1589	31	131	2	76	2475	40	88	11	25	2313	69	363	6	157	"serine/threonine kinase 32C"
"Eef1a2"	17611	45	0	0	55	14094	37	0	0	59	15916	92	2	29	230	"eukaryotic translation elongation factor 1 alpha 2"
"Matn4"	290	7	25	0	1090	249	68	27	2	1115	312	167	39	3	1782	"matrilin 4"
"Cntnap1"	6391	344	92	21	69	4819	240	172	118	61	6011	190	136	151	133	"contactin associated protein-like 1"
"Mpp2"	2788	31	114	13	287	3231	45	127	8	237	4033	94	168	12	629	"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)"
"Vtn"	1202	21	10	100042	235	1127	230	13	110861	352	759	1261	12	97885	516	"vitronectin"
"Aldoc"	19267	886	276	848	190	13562	868	414	907	173	11300	1171	363	1004	145	"aldolase C, fructose-bisphosphate"
"Stac2"	1764	51	6	2	38	1283	102	2	0	45	1986	83	10	38	109	"SH3 and cysteine rich domain 2"
"Cacnb4"	5308	20	390	36	21	3908	14	204	22	22	4083	13	223	15	16	"calcium channel, voltage-dependent, beta 4 subunit"
"Tns4"	6	1284	15	18	58	8	1911	23	35	28	17	696	24	38	45	"tensin 4"
"Ada"	18	43561	45	110	58	19	40393	48	74	59	14	24937	53	41	57	"adenosine deaminase"
"Birc5"	18	717	44	25	41	27	959	24	76	75	11	752	28	73	45	"baculoviral IAP repeat-containing 5"
"Wfdc2"	1	19	878	138	8945	23	11	983	57	7526	3	17	1059	44	6097	"WAP four-disulfide core domain 2"
"Slc12a5"	14101	29	134	115	191	12483	22	89	102	43	12211	38	99	177	258	"solute carrier family 12, member 5"
"Pltp"	796	181	123	396	5460	510	450	187	1164	5286	465	554	170	481	8444	"phospholipid transfer protein"
"Eya2"	88	21	60	2	1064	36	20	57	6	891	35	42	55	3	1421	"EYA transcriptional coactivator and phosphatase 2"
"Ptgis"	66	46	57	18	1565	66	85	87	65	876	84	98	101	26	1845	"prostaglandin I2 (prostacyclin) synthase"
"Pmp22"	658	614	337	91	14204	396	1584	482	115	7400	394	479	223	49	10520	"peripheral myelin protein 22"
"Gpx3"	448	1193	423204	68	19271	142	1967	418601	132	12328	102	1898	328736	128	18428	"glutathione peroxidase 3"
"6330403K07Rik"	3932	36	7	15	62	3905	54	10	4	54	4722	242	110	35	971	"RIKEN cDNA 6330403K07 gene"
"Slc13a3"	438	3	25865	613	55	264	6	20188	1013	48	327	6	20745	1018	87	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3"
"Kcnab3"	1539	16	29	40	25	770	28	31	21	29	900	58	24	20	25	"potassium voltage-gated channel, shaker-related subfamily, beta member 3"
"Trim37"	12803	732	1238	778	826	9137	467	991	567	794	11256	544	1114	861	699	"tripartite motif-containing 37"
"Cldn7"	2	10640	194	6	715	5	15917	230	7	543	0	11844	282	17	602	"claudin 7"
"Acsl1"	1263	2581	4241	45048	2185	1165	1477	6073	40908	1332	1151	1542	3210	46841	1957	"acyl-CoA synthetase long-chain family member 1"
"Unc45b"	25	33	103	27	338	17	60	190	93	353	24	83	177	41	1049	"unc-45 myosin chaperone B"
"Sult4a1"	6668	25	3	0	7	6499	42	2	2	1	8218	44	0	3	34	"sulfotransferase family 4A, member 1"
"Tm4sf5"	5	11195	1	10	14	11	14012	3	5	0	3	12352	1219	35	3	"transmembrane 4 superfamily member 5"
"Ccl9"	18	335	18	3851	408	30	453	28	1914	440	37	344	12	3727	209	"chemokine (C-C motif) ligand 9"
"Scrn1"	6140	45	121	1	909	5663	60	119	5	603	6470	56	142	3	692	"secernin 1"
"Etnppl"	632	5	62	11669	3	472	23	320	8586	0	26	13	103	9705	3	"ethanolamine phosphate phospholyase"
"Gdpd2"	163	876	2	2	90	150	1302	2	0	99	95	754	2	0	84	"glycerophosphodiester phosphodiesterase domain containing 2"
"Sec14l4"	12	6	43	8152	1700	20	62	28	12231	1661	18	67	81	9464	2085	"SEC14-like lipid binding 4"
"Rgs17"	4190	20	1	2	37	2305	23	0	0	25	2477	35	0	0	31	"regulator of G-protein signaling 17"
"Frk"	11	3557	248	193	263	9	2115	335	102	237	15	1698	335	162	137	"fyn-related kinase"
"Lrp11"	3130	49	429	75	116	2518	48	416	84	97	3065	31	361	119	95	"low density lipoprotein receptor-related protein 11"
"Wasf1"	4042	24	52	57	16	3926	18	54	44	20	5446	46	73	52	37	"WASP family, member 1"
"Popdc3"	50	1	19	0	459	32	6	3	0	240	44	2	2	0	321	"popeye domain containing 3"
"Arfgef3"	5670	260	134	1	519	4025	213	136	3	509	4998	383	112	0	324	"ARFGEF family member 3"
"Fabp7"	837	8	65	44	1	613	20	105	88	1	516	2	99	148	0	"fatty acid binding protein 7, brain"
"Slc17a8"	110	3	22	1513	10	79	3	12	239	0	66	0	47	1157	1	"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8"
"Cdk1"	10	786	53	80	64	4	681	36	37	70	6	821	87	49	67	"cyclin-dependent kinase 1"
"Ahi1"	9122	94	366	42	198	6303	137	296	32	236	6626	148	392	32	172	"Abelson helper integration site 1"
"Arg1"	6	33	7	43472	27	4	29	4	44531	59	8	31	4	47038	17	"arginase, liver"
"Vnn3"	0	6	0	516	61	0	17	7	2044	195	0	2	0	2109	295	"vanin 3"
"Hal"	3	186	7	15799	63	1	11	4	26851	3	2	117	0	14957	25	"histidine ammonia lyase"
"Timp3"	1311	419	59723	289	10952	1059	234	30304	444	4774	1071	415	42883	679	16403	"tissue inhibitor of metalloproteinase 3"
"Igf1"	361	227	409	41286	563	211	504	395	21075	294	211	558	195	29587	372	"insulin-like growth factor 1"
"Dram1"	25	100	244	17	6533	37	153	307	34	6950	32	179	274	41	4960	"DNA-damage regulated autophagy modulator 1"
"Slc5a8"	1	39	8393	1	32	2	39	6085	1	10	0	0	5436	0	11	"solute carrier family 5 (iodide transporter), member 8"
"Hkdc1"	168	8925	40	6	137	295	9443	29	4	177	341	7122	73	15	136	"hexokinase domain containing 1"
"Egfr"	506	555	1687	32787	843	371	424	1433	39032	390	393	346	1712	56134	778	"epidermal growth factor receptor"
"Avpr1a"	22	33	84	1015	23	6	23	165	724	36	9	31	118	423	31	"arginine vasopressin receptor 1A"
"Apc2"	2723	23	40	15	82	2650	25	17	14	36	3377	58	67	20	263	"APC regulator of WNT signaling pathway 2"
"Gamt"	163	42	244	3876	107	124	391	264	5876	38	110	748	252	4058	153	"guanidinoacetate methyltransferase"
"Nav3"	2701	9	88	0	27	2603	15	76	1	24	3145	2	43	3	55	"neuron navigator 3"
"Slc5a4a"	0	769	65	0	0	2	4238	42	0	0	0	763	28	0	0	"solute carrier family 5, member 4a"
"Slc36a2"	36	12	3	0	646	9	22	252	1	519	6	50	144	6	1082	"solute carrier family 36 (proton/amino acid symporter), member 2"
"Nsg2"	10756	79	24	7	81	12296	123	45	4	120	12331	177	28	17	59	"neuron specific gene family member 2"
"Shc2"	851	34	15	5	55	1182	35	11	5	25	1407	52	10	6	72	"SHC (Src homology 2 domain containing) transforming protein 2"
"Hmmr"	18	410	38	4	24	17	234	25	9	23	6	281	37	17	28	"hyaluronan mediated motility receptor (RHAMM)"
"Acsl6"	6479	105	2	24	5	4534	133	4	23	1	4766	477	24	35	1	"acyl-CoA synthetase long-chain family member 6"
"Cyfip2"	23365	611	5814	124	1134	20808	700	5153	86	750	23868	846	4734	197	652	"cytoplasmic FMR1 interacting protein 2"
"Upp1"	37	2682	134	46	282	37	4422	152	70	301	32	2580	170	46	302	"uridine phosphorylase 1"
"Igfbp1"	0	0	103	231	0	1	0	124	997	5	3	0	59	670	0	"insulin-like growth factor binding protein 1"
"Adcy1"	16542	68	429	11	195	18148	51	354	27	48	23815	60	507	35	68	"adenylate cyclase 1"
"Npc1l1"	52	10473	13	2	10	41	22336	2	1	1	67	5816	2	0	2	"NPC1 like intracellular cholesterol transporter 1"
"Gria1"	10883	8	1	1	685	11344	11	4	3	297	14171	13	4	15	866	"glutamate receptor, ionotropic, AMPA1 (alpha 1)"
"Nrcam"	9722	8	68	1	1179	10785	8	32	1	214	9433	15	75	9	819	"neuronal cell adhesion molecule"
"Apob"	4	55541	1992	338555	17	1	50442	3659	179233	14	2	23279	1008	218785	6	"apolipoprotein B"
"Klhl29"	717	43	33	4	70	824	34	45	10	107	978	65	35	17	182	"kelch-like 29"
"Fkbp1b"	565	16	79	5	77	331	12	15	7	59	406	13	57	3	79	"FK506 binding protein 1b"
"Slc26a4"	135	3	887	64	21	162	14	1400	19	50	217	4	913	29	22	"solute carrier family 26, member 4"
"Dnajc27"	4548	86	139	29	266	2850	89	141	39	298	3492	85	140	52	313	"DnaJ heat shock protein family (Hsp40) member C27"
"Kif3c"	4022	54	148	40	312	4208	60	153	39	330	4859	88	233	41	469	"kinesin family member 3C"
"Sntg2"	54	115	53	1105	39	53	116	40	542	40	43	198	14	708	53	"syntrophin, gamma 2"
"Ccl11"	3	688	4	1	111	0	667	16	1	68	0	936	2	3	107	"chemokine (C-C motif) ligand 11"
"Hnf1b"	11	368	10073	625	312	3	388	6110	869	221	0	302	8122	534	357	"HNF1 homeobox B"
"Rasl10b"	4180	20	11	12	42	5169	12	13	11	22	5030	25	14	23	65	"RAS-like, family 10, member B"
"Pecam1"	401	798	2122	840	17189	215	1141	2628	704	14524	237	1519	2005	809	19530	"platelet/endothelial cell adhesion molecule 1"
"Grin2c"	683	5	7	10	129	1044	0	6	1	19	970	0	32	0	62	"glutamate receptor, ionotropic, NMDA2C (epsilon 3)"
